FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-09-03 10:00:00    463053600  ***  ***    0.6    0.6    0.6   22.4   22.4   36.3   21.2    6.7   12.5  753.90    2423     3268
2014-09-03 10:20:00    463054800  ***  ***    0.8    0.8    0.8   21.6   21.6   33.7   20.4    5.0   11.5  753.90    2422     3237
2014-09-03 10:40:00    463056000  ***  ***    0.7    0.7    0.7   22.2   22.2   35.7   21.0    6.3   12.3  753.90    2423     3261
2014-09-03 11:00:00    463057200  ***  ***    0.0    0.0    0.0   24.7   24.7   30.5   22.9    6.2   13.1  753.80    2424     3345
2014-09-03 11:20:00    463058400  ***  ***    0.7    0.7    0.7   23.9   23.9   36.7   22.6    8.2   13.8  753.80    2424     3323
2014-09-03 11:40:00    463059600  ***  ***    0.8    0.8    0.8   24.8   24.8   28.9   22.9    5.5   12.8  753.70    2424     3346
2014-09-03 12:00:00    463060800  ***  ***    0.4    0.4    0.4   22.5   22.5   37.9   21.4    7.4   12.9  753.40    2428     3281
2014-09-03 12:20:00    463062000  ***  ***    0.0    0.0    0.0   21.5   21.5   38.2   20.6    6.7   12.2  753.40    2428     3245
2014-09-03 12:40:00    463063200  ***  ***    0.0    0.0    0.0   22.0   22.0   34.6   20.9    5.7   12.0  753.10    2430     3263
2014-09-03 13:00:00    463064400  ***  ***    0.8    0.8    0.8   21.3   21.3   38.3   20.3    6.5   12.1  753.10    2430     3241
2014-09-03 13:20:00    463065600  ***  ***    1.0    1.0    1.0   20.6   20.6   44.6   19.5    8.2   12.7  753.00    2433     3228
2014-09-03 13:40:00    463066800  ***  ***    0.4    0.4    0.4   21.1   21.1   41.6   20.2    7.6   12.5  752.80    2435     3245
2014-09-03 14:00:00    463068000  ***  ***    0.0    0.0    0.0   21.0   21.0   42.3   20.0    7.7   12.5  752.60    2437     3244
2014-09-03 14:20:00    463069200  ***  ***    0.0    0.0    0.0   21.7   21.7   36.5   20.7    6.2   12.1  752.40    2439     3263
2014-09-03 14:40:00    463070400  ***  ***    1.1    1.1    1.1   20.2   20.2   41.3   18.8    6.6   11.8  752.20    2440     3216
2014-09-03 15:00:00    463071600  ***  ***    0.0    0.0    0.0   20.7   20.7   39.0   19.5    6.3   11.8  752.10    2442     3236
2014-09-03 15:20:00    463072800  ***  ***    0.0    0.0    0.0   20.5   20.5   46.8   19.5    8.8   12.9  752.20    2441     3237
2014-09-03 15:40:00    463074000  ***  ***    0.8    0.8    0.8   19.2   19.2   49.2   17.7    8.3   12.3  752.00    2443     3193
2014-09-03 16:00:00    463075200  ***  ***    0.0    0.0    0.0   23.0   23.0   44.9   22.2   10.4   14.6  751.70    2445     3330
2014-09-03 16:20:00    463076400  ***  ***    0.0    0.0    0.0   20.9   20.9   45.0   20.1    8.5   12.9  751.50    2447     3254
2014-09-03 16:40:00    463077600  ***  ***    0.5    0.5    0.5   21.2   21.2   41.4   20.3    7.6   12.5  751.40    2448     3262
2014-09-03 17:00:00    463078800  ***  ***    0.4    0.4    0.4   19.5   19.5   46.3   18.0    7.7   12.1  751.60    2446     3206
2014-09-03 17:20:00    463080000  ***  ***    0.0    0.0    0.0   19.4   19.4   49.9   18.0    8.7   12.6  751.70    2445     3206
2014-09-03 17:40:00    463081200  ***  ***    3.1    3.1    3.1   16.8   16.2   55.6   15.4    7.8   11.2  751.80    2445     3114
2014-09-03 18:00:00    463082400  ***  ***    0.0    0.0    0.0   17.3   17.3   43.3   15.3    4.7    9.8  751.90    2443     3118
2014-09-03 18:20:00    463083600  ***  ***    0.7    0.7    0.7   18.2   18.2   43.3   16.1    5.5   10.5  751.40    2449     3158
2014-09-03 18:40:00    463084800  ***  ***    1.6    1.6    1.6   18.3   18.3   42.9   16.2    5.5   10.5  751.50    2447     3159
2014-09-03 19:00:00    463086000  ***  ***    0.4    0.4    0.4   18.0   18.0   44.9   15.9    5.8   10.6  751.70    2446     3148
2014-09-03 19:20:00    463087200  ***  ***    0.6    0.6    0.6   17.1   17.1   49.9   15.4    6.6   10.7  751.80    2444     3120
2014-09-03 19:40:00    463088400  ***  ***    0.7    0.7    0.7   16.5   16.5   52.2   14.9    6.7   10.5  752.00    2443     3099
2014-09-03 20:00:00    463089600  ***  ***    1.0    1.0    1.0   17.1   17.1   48.4   15.3    6.1   10.4  752.00    2443     3116
2014-09-03 20:20:00    463090800  ***  ***    1.1    1.1    1.1   16.7   16.7   50.5   15.0    6.4   10.4  752.50    2438     3097
2014-09-03 20:40:00    463092000  ***  ***    0.5    0.5    0.5   16.6   16.6   51.1   15.0    6.4   10.4  752.50    2437     3092
2014-09-03 21:00:00    463093200  ***  ***    1.2    1.2    1.2   16.8   16.8   48.1   15.0    5.8   10.1  752.70    2435     3095
2014-09-03 21:20:00    463094400  ***  ***    1.1    1.1    1.1   17.9   17.9   42.8   15.7    5.1   10.3  752.60    2436     3130
2014-09-03 21:40:00    463095600  ***  ***    0.0    0.0    0.0   17.6   17.6   45.7   15.6    5.7   10.4  752.60    2436     3123
2014-09-03 22:00:00    463096800  ***  ***    0.0    0.0    0.0   16.8   16.8   48.1   15.0    5.7   10.1  752.50    2438     3098
