FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-16 13:00:00    461509200  ***  ***    0.0    0.0    0.0   17.7   17.7   75.6   17.3   13.3   14.7  763.60    2321     3016
2014-08-16 13:20:00    461510400  ***  ***    1.0    1.0    1.0   17.9   17.9   74.5   17.4   13.3   14.8  757.20    2387     3103
2014-08-16 13:40:00    461511600  ***  ***    0.0    0.0    0.0   21.0   21.0   69.8   21.2   15.3   17.0  757.00    2389     3218
2014-08-16 14:00:00    461512800  ***  ***    1.6    1.6    1.6   20.1   20.1   65.1   19.7   13.3   15.4  757.10    2389     3176
2014-08-16 14:20:00    461514000  ***  ***    0.8    0.8    0.8   22.0   22.0   57.5   21.9   13.3   16.0  756.70    2393     3245
2014-08-16 14:40:00    461515200  ***  ***    0.0    0.0    0.0   22.8   22.8   63.0   23.0   15.3   17.5  756.70    2394     3282
2014-08-16 15:00:00    461516400  ***  ***    0.4    0.4    0.4   21.9   21.9   64.7   22.1   15.0   17.0  756.30    2397     3256
2014-08-16 15:20:00    461517600  ***  ***    0.0    0.0    0.0   23.4   23.4   52.8   23.0   13.2   16.3  756.30    2398     3295
2014-08-16 15:40:00    461518800  ***  ***    1.0    1.0    1.0   21.8   21.8   66.6   22.1   15.3   17.2  756.20    2399     3256
2014-08-16 16:00:00    461520000  ***  ***    1.4    1.4    1.4   21.3   21.3   63.4   21.4   14.0   16.2  756.10    2399     3232
2014-08-16 16:20:00    461521200  ***  ***    0.8    0.8    0.8   21.9   21.9   58.5   21.8   13.4   16.0  755.90    2402     3255
2014-08-16 16:40:00    461522400  ***  ***    0.4    0.4    0.4   19.8   19.8   67.0   19.4   13.5   15.5  755.70    2404     3187
2014-08-16 17:00:00    461523600  ***  ***    0.4    0.4    0.4   23.3   23.3   55.5   23.0   13.9   16.7  755.70    2403     3302
2014-08-16 17:20:00    461524800  ***  ***    0.0    0.0    0.0   20.6   20.6   60.0   20.3   12.5   15.1  755.80    2402     3206
2014-08-16 17:40:00    461526000  ***  ***    0.9    0.9    0.9   19.5   19.5   64.0   18.9   12.5   14.8  755.60    2404     3171
2014-08-16 18:00:00    461527200  ***  ***    0.5    0.5    0.5   18.8   18.8   67.4   18.0   12.6   14.6  755.50    2405     3151
2014-08-16 18:20:00    461528400  ***  ***    0.7    0.7    0.7   18.1   18.1   69.7   17.4   12.5   14.3  756.20    2399     3120
2014-08-16 18:40:00    461529600  ***  ***    0.5    0.5    0.5   17.1   17.1   73.4   16.6   12.3   13.9  756.40    2397     3085
2014-08-16 19:00:00    461530800  ***  ***    0.4    0.4    0.4   17.0   17.0   70.9   16.3   11.6   13.4  756.20    2398     3077
2014-08-16 19:20:00    461532000  ***  ***    0.5    0.5    0.5   17.8   17.8   65.9   16.9   11.3   13.5  756.30    2398     3104
2014-08-16 19:40:00    461533200  ***  ***    0.5    0.5    0.5   16.7   16.7   73.2   16.2   11.9   13.5  756.50    2395     3066
2014-08-16 20:00:00    461534400  ***  ***    1.7    1.7    1.7   16.9   16.9   70.9   16.2   11.6   13.4  756.60    2394     3070
2014-08-16 20:20:00    461535600  ***  ***    0.0    0.0    0.0   16.7   16.7   70.1   16.0   11.2   13.1  757.70    2383     3049
2014-08-16 20:40:00    461536800  ***  ***    0.4    0.4    0.4   10.1   10.1   95.9   10.4    9.5    9.8  758.80    2371     2802
2014-08-16 21:00:00    461538000  ***  ***    0.0    0.0    0.0   10.1   10.1   97.4   10.4    9.7    9.8  758.60    2373     2808
2014-08-16 21:20:00    461539200  ***  ***    0.0    0.0    0.0   10.4   10.4   98.0   10.8   10.1   10.3  757.90    2380     2826
2014-08-16 21:40:00    461540400  ***  ***    2.2    2.2    2.2   11.7   10.4   92.0   12.0   10.4   10.9  758.20    2378     2870
2014-08-16 22:00:00    461541600  ***  ***    1.9    1.9    1.9   12.0   11.0   92.2   12.3   10.8   11.3  757.90    2381     2885
2014-08-16 22:20:00    461542800  ***  ***    1.7    1.7    1.7   10.4    9.3   98.1   10.8   10.1   10.3  757.60    2384     2832
2014-08-16 22:40:00    461544000  ***  ***    0.0    0.0    0.0   11.7   11.7   95.0   12.0   10.9   11.2  757.70    2383     2878
2014-08-16 23:00:00    461545200  ***  ***    1.1    1.1    1.1   12.9   12.8   93.6   13.2   11.9   12.2  757.10    2389     2931
2014-08-16 23:20:00    461546400  ***  ***    1.9    1.9    1.9   14.1   13.5   88.9   14.3   12.3   12.9  756.80    2393     2979
2014-08-16 23:40:00    461547600  ***  ***    0.3    0.3    0.3   15.0   15.0   89.3   15.2   13.3   13.9  757.00    2390     3011
2014-08-17 00:00:00    461548800  ***  ***    3.4    3.4    3.4   13.7   12.2   68.4   13.1    7.9   10.2  757.10    2389     2940
2014-08-17 00:20:00    461550000  ***  ***    1.8    1.8    1.8   12.4   11.6   93.0   12.7   11.3   11.7  757.20    2389     2909
2014-08-17 00:40:00    461551200  ***  ***    0.0    0.0    0.0   12.0   12.0   95.3   12.3   11.3   11.5  757.40    2386     2895
2014-08-17 01:00:00    461552400  ***  ***    0.0    0.0    0.0   11.1   11.1   97.1   11.5   10.6   10.8  757.20    2389     2861
