FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-09-09 11:20:00    463576800  ***  ***    0.0    0.0    0.0   23.2   23.2   92.4   24.8   21.9   22.2  831.20    1637     2412
2014-09-09 11:40:00    463578000  ***  ***    1.2    1.2    1.2   23.3   23.3   55.8   23.0   14.0   17.0  831.00    1640     2372
2014-09-09 12:00:00    463579200  ***  ***    1.2    1.2    1.2   24.3   24.3   54.5   23.9   14.5   17.6  830.90    1640     2408
2014-09-09 12:20:00    463580400  ***  ***    0.8    0.8    0.8   25.1   25.1   53.2   24.7   15.0   18.1  830.70    1642     2439
2014-09-09 12:40:00    463581600  ***  ***    1.9    1.9    1.9   24.8   24.8   53.8   24.4   14.8   17.9  830.50    1644     2433
2014-09-09 13:00:00    463582800  ***  ***    1.1    1.1    1.1   24.1   24.1   54.7   23.7   14.4   17.4  830.50    1644     2408
2014-09-09 13:20:00    463584000  ***  ***    0.5    0.5    0.5   23.4   23.4   55.2   23.1   13.9   16.9  830.10    1647     2383
2014-09-09 13:40:00    463585200  ***  ***    0.0    0.0    0.0   24.9   24.9   49.4   24.2   13.6   17.2  829.90    1649     2433
2014-09-09 14:00:00    463586400  ***  ***    0.0    0.0    0.0   24.6   24.6   45.8   23.7   12.1   16.3  829.90    1650     2419
2014-09-09 14:20:00    463587600  ***  ***    2.1    2.1    2.1   25.6   25.6   41.8   24.6   11.6   16.4  829.60    1653     2453
2014-09-09 14:40:00    463588800  ***  ***    1.3    1.3    1.3   25.9   25.9   39.8   24.7   11.2   16.2  829.30    1656     2465
2014-09-09 15:00:00    463590000  ***  ***    1.5    1.5    1.5   25.0   25.0   38.7   23.7   10.0   15.3  829.50    1654     2431
2014-09-09 15:20:00    463591200  ***  ***    0.9    0.9    0.9   26.4   26.4   37.6   25.2   10.8   16.2  829.20    1656     2483
2014-09-09 15:40:00    463592400  ***  ***    1.4    1.4    1.4   26.1   26.1   39.5   25.0   11.2   16.3  829.30    1656     2471
2014-09-09 16:00:00    463593600  ***  ***    0.4    0.4    0.4   24.5   24.5   42.7   23.4   11.0   15.7  829.30    1655     2419
2014-09-09 16:20:00    463594800  ***  ***    0.9    0.9    0.9   26.5   26.5   38.5   25.4   11.3   16.4  829.20    1656     2488
2014-09-09 16:40:00    463596000  ***  ***    0.9    0.9    0.9   24.9   24.9   36.5   23.4    9.1   14.9  829.40    1655     2426
2014-09-09 17:00:00    463597200  ***  ***    1.4    1.4    1.4   24.4   24.4   34.1   22.8    7.6   13.9  829.40    1655     2403
2014-09-09 17:20:00    463598400  ***  ***    0.6    0.6    0.6   23.9   23.9   36.5   22.5    8.1   14.0  829.20    1657     2389
2014-09-09 17:40:00    463599600  ***  ***    1.0    1.0    1.0   23.3   23.3   41.2   22.3    9.4   14.5  829.20    1656     2374
2014-09-09 18:00:00    463600800  ***  ***    0.4    0.4    0.4   22.6   22.6   46.5   21.9   10.5   14.8  829.20    1656     2354
2014-09-09 18:20:00    463602000  ***  ***    0.0    0.0    0.0   20.7   20.7   59.9   20.3   12.6   15.3  829.40    1655     2298
2014-09-09 18:40:00    463603200  ***  ***    0.0    0.0    0.0   19.1   19.1   69.0   18.6   13.3   15.2  829.40    1654     2247
2014-09-09 19:00:00    463604400  ***  ***    0.0    0.0    0.0   18.0   18.0   74.7   17.5   13.5   15.0  829.40    1654     2210
2014-09-09 19:20:00    463605600  ***  ***    0.0    0.0    0.0   17.1   17.1   79.2   16.9   13.4   14.7  829.70    1651     2173
2014-09-09 19:40:00    463606800  ***  ***    0.0    0.0    0.0   16.2   16.2   82.6   16.2   13.3   14.3  830.30    1646     2139
2014-09-09 20:00:00    463608000  ***  ***    0.0    0.0    0.0   15.9   15.9   83.2   15.9   13.1   14.1  830.30    1646     2126
2014-09-09 20:20:00    463609200  ***  ***    0.0    0.0    0.0   15.7   15.7   83.0   15.7   12.8   13.8  830.50    1643     2115
2014-09-09 20:40:00    463610400  ***  ***    0.7    0.7    0.7   15.7   15.7   81.9   15.6   12.6   13.7  830.70    1642     2109
2014-09-09 21:00:00    463611600  ***  ***    0.6    0.6    0.6   15.3   15.3   83.0   15.3   12.5   13.5  830.70    1642     2098
2014-09-09 21:20:00    463612800  ***  ***    0.7    0.7    0.7   15.2   15.2   81.9   15.1   12.2   13.2  830.90    1640     2091
2014-09-09 21:40:00    463614000  ***  ***    0.5    0.5    0.5   15.0   15.0   82.3   14.9   12.0   13.0  830.70    1642     2086
2014-09-09 22:00:00    463615200  ***  ***    0.6    0.6    0.6   14.8   14.8   83.1   14.8   11.9   12.9  830.70    1642     2078
2014-09-09 22:20:00    463616400  ***  ***    0.7    0.7    0.7   14.6   14.6   83.6   14.6   11.9   12.8  830.70    1642     2072
2014-09-09 22:40:00    463617600  ***  ***    0.7    0.7    0.7   14.6   14.6   84.1   14.6   12.0   12.9  830.90    1640     2070
2014-09-09 23:00:00    463618800  ***  ***    0.6    0.6    0.6   14.3   14.3   86.2   14.3   12.1   12.9  830.80    1642     2061
2014-09-09 23:20:00    463620000  ***  ***    0.6    0.6    0.6   14.4   14.4   86.0   14.4   12.0   12.8  830.90    1640     2060
