FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-23 17:20:00    462129600  ***  ***    0.0    0.0    0.0   24.5   24.5   40.2   23.3   10.1   15.2  829.10    1658     2419
2014-08-23 17:40:00    462130800  ***  ***    0.6    0.6    0.6   24.0   24.0   46.0   23.1   11.6   15.8  829.00    1659     2408
2014-08-23 18:00:00    462132000  ***  ***    0.0    0.0    0.0   22.2   22.2   55.9   22.0   13.0   16.0  829.20    1656     2352
2014-08-23 18:20:00    462133200  ***  ***    0.0    0.0    0.0   20.8   20.8   69.8   20.9   15.1   16.9  828.90    1659     2319
2014-08-23 18:40:00    462134400  ***  ***    0.0    0.0    0.0   19.9   19.9   66.6   19.6   13.5   15.6  829.10    1658     2279
2014-08-23 19:00:00    462135600  ***  ***    0.0    0.0    0.0   18.5   18.5   75.9   18.1   14.2   15.6  829.20    1656     2232
2014-08-23 19:20:00    462136800  ***  ***    0.6    0.6    0.6   17.9   17.9   73.6   17.4   13.1   14.8  829.30    1655     2204
2014-08-23 19:40:00    462138000  ***  ***    0.0    0.0    0.0   17.4   17.4   76.2   17.0   13.2   14.7  829.70    1651     2183
2014-08-23 20:00:00    462139200  ***  ***    0.0    0.0    0.0   17.0   17.0   76.4   16.6   12.8   14.3  830.30    1646     2163
2014-08-23 20:20:00    462140400  ***  ***    0.0    0.0    0.0   16.6   16.6   78.9   16.4   12.9   14.2  830.20    1647     2152
2014-08-23 20:40:00    462141600  ***  ***    0.7    0.7    0.7   16.3   16.3   78.7   16.0   12.6   13.9  830.30    1646     2138
2014-08-23 21:00:00    462142800  ***  ***    0.0    0.0    0.0   16.1   16.1   80.9   16.0   12.8   13.9  830.40    1645     2131
2014-08-23 21:20:00    462144000  ***  ***    0.0    0.0    0.0   16.0   16.0   79.5   15.8   12.4   13.6  830.40    1645     2124
2014-08-23 21:40:00    462145200  ***  ***    0.0    0.0    0.0   15.6   15.6   80.0   15.4   12.2   13.4  830.60    1643     2108
2014-08-23 22:00:00    462146400  ***  ***    0.0    0.0    0.0   15.7   15.7   80.1   15.5   12.2   13.4  830.40    1645     2113
2014-08-23 22:20:00    462147600  ***  ***    0.0    0.0    0.0   15.3   15.3   79.4   15.1   11.8   13.0  830.50    1644     2099
2014-08-23 22:40:00    462148800  ***  ***    0.0    0.0    0.0   14.7   14.7   81.7   14.6   11.6   12.7  830.40    1644     2076
2014-08-23 23:00:00    462150000  ***  ***    0.0    0.0    0.0   15.0   15.0   79.4   14.8   11.5   12.8  830.20    1646     2090
2014-08-23 23:20:00    462151200  ***  ***    0.0    0.0    0.0   14.8   14.8   81.6   14.7   11.6   12.8  830.30    1646     2081
2014-08-23 23:40:00    462152400  ***  ***    0.0    0.0    0.0   14.7   14.7   80.8   14.6   11.4   12.6  830.20    1647     2078
2014-08-24 00:00:00    462153600  ***  ***    0.0    0.0    0.0   14.2   14.2   84.7   14.2   11.6   12.6  830.20    1646     2061
2014-08-24 00:20:00    462154800  ***  ***    0.0    0.0    0.0   13.1   13.1   88.6   13.3   11.3   12.0  830.30    1645     2020
2014-08-24 00:40:00    462156000  ***  ***    0.0    0.0    0.0   13.7   13.7   85.7   13.7   11.3   12.2  830.00    1649     2045
2014-08-24 01:00:00    462157200  ***  ***    0.0    0.0    0.0   14.1   14.1   82.1   14.0   11.1   12.2  830.00    1649     2060
2014-08-24 01:20:00    462158400  ***  ***    0.0    0.0    0.0   14.0   14.0   80.8   13.9   10.8   12.0  830.20    1647     2054
2014-08-24 01:40:00    462159600  ***  ***    0.0    0.0    0.0   13.9   13.9   82.2   13.8   10.9   12.0  830.00    1649     2051
2014-08-24 02:00:00    462160800  ***  ***    0.6    0.6    0.6   14.2   14.2   77.5   13.9   10.3   11.8  829.70    1651     2062
2014-08-24 02:20:00    462162000  ***  ***    0.0    0.0    0.0   13.8   13.8   81.7   13.7   10.8   12.0  829.70    1652     2052
2014-08-24 02:40:00    462163200  ***  ***    0.0    0.0    0.0   13.8   13.8   82.3   13.7   10.9   12.0  829.80    1651     2051
2014-08-24 03:00:00    462164400  ***  ***    0.0    0.0    0.0   13.6   13.6   84.4   13.6   11.1   12.0  830.00    1648     2041
2014-08-24 03:20:00    462165600  ***  ***    0.0    0.0    0.0   13.7   13.7   83.7   13.7   11.0   12.0  829.80    1651     2049
2014-08-24 03:40:00    462166800  ***  ***    0.0    0.0    0.0   13.8   13.8   83.7   13.8   11.1   12.1  829.80    1651     2051
2014-08-24 04:00:00    462168000  ***  ***    0.0    0.0    0.0   12.4   12.4   89.5   12.6   10.7   11.3  829.80    1651     2000
2014-08-24 04:20:00    462169200  ***  ***    0.0    0.0    0.0   13.3   13.3   86.8   13.4   11.1   11.9  829.50    1653     2036
2014-08-24 04:40:00    462170400  ***  ***    0.6    0.6    0.6   13.7   13.7   84.6   13.7   11.2   12.1  829.70    1651     2048
2014-08-24 05:00:00    462171600  ***  ***    0.4    0.4    0.4   13.9   13.9   82.7   13.9   11.0   12.1  829.70    1652     2057
2014-08-24 05:20:00    462172800  ***  ***    0.0    0.0    0.0   13.9   13.9   82.8   13.9   11.0   12.1  829.90    1649     2051
