FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-30 07:20:00    462698400  ***  ***    0.0    0.0    0.0   18.0   18.0   60.0   16.8   10.1   13.0  831.00    1640     2178
2014-08-30 07:40:00    462699600  ***  ***    0.0    0.0    0.0   21.2   21.2   51.6   20.7   10.9   14.5  830.80    1640     2291
2014-08-30 08:00:00    462700800  ***  ***    0.0    0.0    0.0   26.8   26.8   45.0   26.3   13.9   18.0  830.70    1642     2490
2014-08-30 08:20:00    462702000  ***  ***    0.0    0.0    0.0   26.5   26.5   37.0   25.3   10.7   16.2  830.90    1640     2465
2014-08-30 08:40:00    462703200  ***  ***    0.0    0.0    0.0   26.3   26.3   33.6   24.8    9.0   15.2  831.00    1640     2451
2014-08-30 09:00:00    462704400  ***  ***    0.0    0.0    0.0   27.0   27.0   34.0   25.6    9.8   15.8  830.70    1642     2478
2014-08-30 09:20:00    462705600  ***  ***    0.0    0.0    0.0   30.2   30.2   23.7   28.2    7.2   15.7  830.80    1642     2573
2014-08-30 09:40:00    462706800  ***  ***    0.5    0.5    0.5   29.1   29.1   25.1   27.1    7.1   15.3  831.00    1640     2535
2014-08-30 10:00:00    462708000  ***  ***    0.4    0.4    0.4   30.1   30.1   24.8   28.2    7.8   15.9  831.10    1638     2571
2014-08-30 10:20:00    462709200  ***  ***    0.0    0.0    0.0   29.0   29.0   29.0   27.4    9.1   16.2  830.70    1642     2541
2014-08-30 10:40:00    462710400  ***  ***    1.5    1.5    1.5   28.3   28.3   26.1   26.3    7.0   15.0  831.00    1640     2510
2014-08-30 11:00:00    462711600  ***  ***    0.4    0.4    0.4   28.2   28.2   26.1   26.2    6.9   15.0  830.80    1640     2508
2014-08-30 11:20:00    462712800  ***  ***    0.0    0.0    0.0   28.3   28.3   27.6   26.4    7.9   15.4  830.60    1642     2517
2014-08-30 11:40:00    462714000  ***  ***    0.6    0.6    0.6   28.7   28.7   25.1   26.7    6.8   15.0  830.40    1644     2528
2014-08-30 12:00:00    462715200  ***  ***    0.9    0.9    0.9   29.1   29.1   26.5   27.2    8.0   15.7  830.50    1643     2544
2014-08-30 12:20:00    462716400  ***  ***    0.5    0.5    0.5   29.4   29.4   27.3   27.7    8.6   16.1  830.40    1644     2558
2014-08-30 12:40:00    462717600  ***  ***    0.5    0.5    0.5   30.2   30.2   25.8   28.4    8.5   16.3  830.10    1647     2585
2014-08-30 13:00:00    462718800  ***  ***    0.0    0.0    0.0   30.9   30.9   24.5   29.1    8.2   16.4  830.00    1648     2606
2014-08-30 13:20:00    462720000  ***  ***    0.7    0.7    0.7   31.2   31.2   21.5   29.1    6.6   15.8  830.00    1648     2613
2014-08-30 13:40:00    462721200  ***  ***    0.5    0.5    0.5   32.1   32.1   23.4   30.5    8.6   16.9  829.70    1651     2650
2014-08-30 14:00:00    462722400  ***  ***    0.6    0.6    0.6   31.5   31.5   26.2   30.1    9.8   17.2  829.70    1652     2638
2014-08-30 14:20:00    462723600  ***  ***    0.8    0.8    0.8   29.2   29.2   22.0   27.0    5.3   14.6  829.10    1657     2554
2014-08-30 14:40:00    462724800  ***  ***    0.0    0.0    0.0   31.3   31.3   22.3   29.3    7.2   16.0  829.20    1657     2626
2014-08-30 15:00:00    462726000  ***  ***    0.0    0.0    0.0   30.2   30.2   21.5   28.0    5.9   15.1  828.70    1662     2597
2014-08-30 15:20:00    462727200  ***  ***    1.0    1.0    1.0   29.0   29.0   25.5   27.0    7.3   15.3  828.90    1660     2558
2014-08-30 15:40:00    462728400  ***  ***    1.3    1.3    1.3   29.9   29.9   25.5   28.1    8.1   16.0  828.70    1661     2592
2014-08-30 16:00:00    462729600  ***  ***    0.0    0.0    0.0   28.3   28.3   34.3   27.1   11.0   16.8  828.80    1661     2549
2014-08-30 16:20:00    462730800  ***  ***    1.9    1.9    1.9   28.9   28.9   25.1   26.9    7.0   15.1  828.40    1664     2558
2014-08-30 16:40:00    462732000  ***  ***    1.2    1.2    1.2   29.2   29.2   24.9   27.2    7.1   15.3  828.50    1664     2569
2014-08-30 17:00:00    462733200  ***  ***    0.0    0.0    0.0   28.3   28.3   28.7   26.5    8.5   15.7  828.60    1663     2544
2014-08-30 17:20:00    462734400  ***  ***    0.0    0.0    0.0   27.8   27.8   30.5   26.0    8.9   15.7  828.70    1662     2526
2014-08-30 17:40:00    462735600  ***  ***    0.0    0.0    0.0   26.8   26.8   37.9   25.6   11.3   16.5  828.60    1663     2505
2014-08-30 18:00:00    462736800  ***  ***    0.0    0.0    0.0   27.0   27.0   31.9   25.3    8.9   15.4  828.40    1665     2505
2014-08-30 18:20:00    462738000  ***  ***    0.0    0.0    0.0   25.1   25.1   44.8   24.1   12.3   16.5  828.60    1663     2453
2014-08-30 18:40:00    462739200  ***  ***    0.0    0.0    0.0   22.0   22.0   59.2   21.9   13.7   16.4  828.80    1661     2354
2014-08-30 19:00:00    462740400  ***  ***    0.0    0.0    0.0   20.7   20.7   64.2   20.6   13.7   16.0  828.90    1660     2309
2014-08-30 19:20:00    462741600  ***  ***    0.0    0.0    0.0   20.7   20.7   55.3   20.2   11.4   14.7  829.00    1658     2295
