FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-09-09 11:00:00    463575600  ***  ***    0.5    0.5    0.5   24.8   24.8   64.1   25.0   17.6   19.6  823.30    1715     2532
2014-09-09 11:20:00    463576800  ***  ***    0.9    0.9    0.9   26.2   26.2   49.9   25.9   14.9   18.3  823.00    1718     2568
2014-09-09 11:40:00    463578000  ***  ***    0.0    0.0    0.0   24.6   24.6   53.8   24.2   14.6   17.7  822.80    1719     2515
2014-09-09 12:00:00    463579200  ***  ***    0.5    0.5    0.5   25.4   25.4   51.4   25.0   14.7   18.0  822.80    1720     2543
2014-09-09 12:20:00    463580400  ***  ***    1.1    1.1    1.1   26.3   26.3   50.4   26.2   15.2   18.5  822.70    1721     2575
2014-09-09 12:40:00    463581600  ***  ***    0.5    0.5    0.5   27.6   27.6   49.5   27.8   16.1   19.4  822.50    1723     2626
2014-09-09 13:00:00    463582800  ***  ***    0.4    0.4    0.4   23.0   23.0   63.6   23.2   15.7   17.9  822.20    1726     2475
2014-09-09 13:20:00    463584000  ***  ***    0.4    0.4    0.4   28.4   28.4   44.3   28.3   15.0   19.0  821.90    1729     2653
2014-09-09 13:40:00    463585200  ***  ***    1.0    1.0    1.0   25.4   25.4   52.5   25.1   15.0   18.2  821.90    1729     2556
2014-09-09 14:00:00    463586400  ***  ***    1.7    1.7    1.7   26.2   26.2   47.2   25.7   14.0   17.8  821.70    1731     2578
2014-09-09 14:20:00    463587600  ***  ***    0.5    0.5    0.5   26.5   26.5   44.2   25.8   13.3   17.5  821.40    1733     2588
2014-09-09 14:40:00    463588800  ***  ***    0.0    0.0    0.0   27.4   27.4   45.1   27.0   14.5   18.4  821.50    1733     2624
2014-09-09 15:00:00    463590000  ***  ***    0.0    0.0    0.0   26.2   26.2   42.2   25.3   12.4   16.9  821.30    1733     2576
2014-09-09 15:20:00    463591200  ***  ***    0.6    0.6    0.6   26.2   26.2   44.5   25.5   13.1   17.3  821.20    1735     2580
2014-09-09 15:40:00    463592400  ***  ***    0.9    0.9    0.9   27.7   27.7   41.0   27.0   13.3   17.9  821.10    1735     2631
2014-09-09 16:00:00    463593600  ***  ***    0.7    0.7    0.7   24.5   24.5   44.7   23.5   11.7   16.0  821.00    1737     2519
2014-09-09 16:20:00    463594800  ***  ***    0.4    0.4    0.4   25.9   25.9   43.5   25.1   12.5   16.9  821.10    1737     2568
2014-09-09 16:40:00    463596000  ***  ***    1.0    1.0    1.0   24.0   24.0   41.2   22.9   10.0   15.0  821.00    1738     2498
2014-09-09 17:00:00    463597200  ***  ***    0.6    0.6    0.6   23.5   23.5   40.7   22.4    9.4   14.5  821.20    1735     2479
2014-09-09 17:20:00    463598400  ***  ***    0.0    0.0    0.0   23.2   23.2   44.4   22.3   10.4   14.9  821.10    1735     2470
2014-09-09 17:40:00    463599600  ***  ***    1.6    1.6    1.6   22.9   22.9   43.8   22.1    9.9   14.6  821.00    1737     2458
2014-09-09 18:00:00    463600800  ***  ***    0.8    0.8    0.8   21.9   21.9   48.5   21.4   10.6   14.6  821.10    1735     2428
2014-09-09 18:20:00    463602000  ***  ***    0.0    0.0    0.0   20.4   20.4   58.1   19.9   11.9   14.8  821.20    1735     2383
2014-09-09 18:40:00    463603200  ***  ***    0.0    0.0    0.0   18.8   18.8   64.8   17.9   12.0   14.3  821.00    1738     2332
2014-09-09 19:00:00    463604400  ***  ***    0.0    0.0    0.0   18.1   18.1   70.6   17.4   12.7   14.6  821.40    1733     2309
2014-09-09 19:20:00    463605600  ***  ***    0.0    0.0    0.0   17.7   17.7   71.1   17.0   12.4   14.2  821.40    1733     2291
2014-09-09 19:40:00    463606800  ***  ***    0.0    0.0    0.0   16.4   16.4   78.5   16.1   12.7   14.0  821.80    1729     2244
2014-09-09 20:00:00    463608000  ***  ***    0.0    0.0    0.0   15.4   15.4   84.0   15.4   12.7   13.6  822.00    1727     2206
2014-09-09 20:20:00    463609200  ***  ***    0.0    0.0    0.0   14.7   14.7   86.9   14.8   12.5   13.3  822.20    1725     2178
2014-09-09 20:40:00    463610400  ***  ***    0.0    0.0    0.0   14.4   14.4   88.2   14.6   12.5   13.2  822.30    1725     2168
2014-09-09 21:00:00    463611600  ***  ***    0.0    0.0    0.0   14.4   14.4   85.6   14.4   12.1   12.9  822.20    1725     2168
2014-09-09 21:20:00    463612800  ***  ***    0.0    0.0    0.0   14.1   14.1   87.1   14.2   12.0   12.7  822.40    1724     2156
2014-09-09 21:40:00    463614000  ***  ***    0.0    0.0    0.0   13.7   13.7   89.0   13.9   11.9   12.5  822.50    1723     2140
2014-09-09 22:00:00    463615200  ***  ***    0.5    0.5    0.5   13.7   13.7   88.2   13.9   11.8   12.5  822.20    1725     2141
2014-09-09 22:20:00    463616400  ***  ***    0.3    0.3    0.3   13.5   13.5   90.1   13.7   11.9   12.5  822.50    1723     2133
2014-09-09 22:40:00    463617600  ***  ***    0.0    0.0    0.0   13.5   13.5   90.1   13.7   11.9   12.5  822.40    1724     2135
2014-09-09 23:00:00    463618800  ***  ***    0.0    0.0    0.0   13.6   13.6   90.1   13.8   12.0   12.6  822.30    1725     2139
