FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-14 12:00:00    461332800  ***  ***    0.0    0.0    0.0   23.0   23.0   66.7   23.3   16.4   18.4  824.80    1700     2447
2014-08-14 12:20:00    461334000  ***  ***    0.0    0.0    0.0   24.2   24.2   62.4   24.3   16.5   18.8  824.70    1701     2488
2014-08-14 12:40:00    461335200  ***  ***    0.0    0.0    0.0   23.6   23.6   65.9   23.8   16.9   18.9  824.70    1701     2472
2014-08-14 13:00:00    461336400  ***  ***    0.0    0.0    0.0   23.2   23.2   70.7   23.7   17.6   19.2  824.60    1702     2463
2014-08-14 13:20:00    461337600  ***  ***    0.0    0.0    0.0   24.4   24.4   68.3   24.8   18.1   19.9  824.20    1705     2509
2014-08-14 13:40:00    461338800  ***  ***    0.5    0.5    0.5   24.2   24.2   65.7   24.4   17.4   19.4  824.10    1707     2502
2014-08-14 14:00:00    461340000  ***  ***    0.4    0.4    0.4   26.0   26.0   63.5   26.9   18.5   20.5  823.50    1712     2572
2014-08-14 14:20:00    461341200  ***  ***    0.6    0.6    0.6   24.0   24.0   67.5   24.4   17.6   19.4  823.20    1716     2509
2014-08-14 14:40:00    461342400  ***  ***    0.6    0.6    0.6   25.1   25.1   63.4   25.5   17.6   19.7  823.00    1718     2545
2014-08-14 15:00:00    461343600  ***  ***    0.4    0.4    0.4   28.0   28.0   57.8   29.3   18.9   21.3  823.10    1716     2648
2014-08-14 15:20:00    461344800  ***  ***    0.0    0.0    0.0   25.4   25.4   64.3   26.0   18.2   20.2  822.90    1719     2559
2014-08-14 15:40:00    461346000  ***  ***    0.5    0.5    0.5   26.1   26.1   61.7   26.9   18.1   20.3  822.80    1719     2582
2014-08-14 16:00:00    461347200  ***  ***    0.0    0.0    0.0   23.4   23.4   65.9   23.6   16.6   18.6  822.90    1718     2484
2014-08-14 16:20:00    461348400  ***  ***    0.4    0.4    0.4   22.4   22.4   70.0   22.8   16.7   18.4  823.00    1718     2452
2014-08-14 16:40:00    461349600  ***  ***    0.0    0.0    0.0   23.5   23.5   66.5   23.8   16.9   18.9  823.20    1716     2487
2014-08-14 17:00:00    461350800  ***  ***    0.0    0.0    0.0   22.2   22.2   67.1   22.5   15.8   17.7  823.30    1715     2437
2014-08-14 17:20:00    461352000  ***  ***    0.0    0.0    0.0   21.8   21.8   71.3   22.2   16.4   18.0  823.30    1714     2426
2014-08-14 17:40:00    461353200  ***  ***    0.0    0.0    0.0   21.8   21.8   76.4   22.4   17.4   18.7  823.20    1716     2433
2014-08-14 18:00:00    461354400  ***  ***    0.0    0.0    0.0   21.4   21.4   74.0   21.8   16.5   18.0  823.10    1716     2415
2014-08-14 18:20:00    461355600  ***  ***    0.0    0.0    0.0   21.1   21.1   78.8   21.6   17.3   18.4  823.50    1713     2407
2014-08-14 18:40:00    461356800  ***  ***    0.0    0.0    0.0   20.3   20.3   80.4   20.6   16.9   17.9  823.70    1711     2375
2014-08-14 19:00:00    461358000  ***  ***    0.0    0.0    0.0   19.6   19.6   83.3   19.9   16.7   17.6  823.70    1710     2349
2014-08-14 19:20:00    461359200  ***  ***    0.0    0.0    0.0   19.0   19.0   88.1   19.3   17.0   17.6  823.80    1709     2328
2014-08-14 19:40:00    461360400  ***  ***    0.0    0.0    0.0   18.4   18.4   91.0   18.8   16.9   17.4  824.10    1707     2306
2014-08-14 20:00:00    461361600  ***  ***    0.0    0.0    0.0   18.7   18.7   88.4   19.0   16.7   17.3  824.20    1705     2311
2014-08-14 20:20:00    461362800  ***  ***    0.0    0.0    0.0   18.5   18.5   87.5   18.7   16.4   17.0  824.30    1704     2302
2014-08-14 20:40:00    461364000  ***  ***    0.0    0.0    0.0   18.4   18.4   85.4   18.5   15.9   16.7  824.60    1701     2291
2014-08-14 21:00:00    461365200  ***  ***    0.0    0.0    0.0   18.2   18.2   85.3   18.2   15.7   16.4  824.70    1701     2283
2014-08-14 21:20:00    461366400  ***  ***    0.0    0.0    0.0   17.9   17.9   85.4   17.9   15.4   16.2  824.90    1699     2271
2014-08-14 21:40:00    461367600  ***  ***    0.6    0.6    0.6   17.6   17.6   82.9   17.6   14.7   15.6  824.50    1703     2260
2014-08-14 22:00:00    461368800  ***  ***    0.0    0.0    0.0   17.4   17.4   80.0   17.2   13.9   15.0  824.30    1704     2253
2014-08-14 22:20:00    461370000  ***  ***    0.0    0.0    0.0   17.7   17.7   76.1   17.3   13.4   14.9  824.20    1706     2261
2014-08-14 22:40:00    461371200  ***  ***    0.4    0.4    0.4   17.2   17.2   79.4   17.0   13.6   14.8  824.00    1708     2248
2014-08-14 23:00:00    461372400  ***  ***    0.0    0.0    0.0   17.3   17.3   73.3   16.8   12.5   14.2  824.20    1705     2244
2014-08-14 23:20:00    461373600  ***  ***    0.0    0.0    0.0   17.5   17.5   72.8   16.9   12.5   14.2  824.10    1707     2251
2014-08-14 23:40:00    461374800  ***  ***    0.0    0.0    0.0   17.4   17.4   73.9   16.9   12.6   14.3  824.10    1706     2247
2014-08-15 00:00:00    461376000  ***  ***    0.0    0.0    0.0   17.1   17.1   74.8   16.6   12.6   14.1  824.10    1707     2240
