FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-23 15:20:00    462122400  ***  ***    0.0    0.0    0.0   25.9   25.9   55.1   26.0   16.2   19.0  823.90    1709     2554
2014-08-23 15:40:00    462123600  ***  ***    0.0    0.0    0.0   25.9   25.9   55.4   26.0   16.3   19.1  823.70    1711     2558
2014-08-23 16:00:00    462124800  ***  ***    0.0    0.0    0.0   26.1   26.1   55.3   26.3   16.5   19.3  823.50    1713     2566
2014-08-23 16:20:00    462126000  ***  ***    2.0    2.0    2.0   26.0   26.0   42.5   25.1   12.3   16.8  821.10    1737     2572
2014-08-23 16:40:00    462127200  ***  ***    0.0    0.0    0.0   31.0   31.0   34.9   30.7   13.7   19.0  821.30    1733     2738
2014-08-23 17:00:00    462128400  ***  ***    0.0    0.0    0.0   26.0   26.0   41.6   25.0   11.9   16.5  820.90    1738     2572
2014-08-23 17:20:00    462129600  ***  ***    0.0    0.0    0.0   26.6   26.6   42.3   25.8   12.7   17.2  821.10    1737     2593
2014-08-23 17:40:00    462130800  ***  ***    0.0    0.0    0.0   28.7   28.7   44.9   28.8   15.6   19.4  820.90    1739     2678
2014-08-23 18:00:00    462132000  ***  ***    0.0    0.0    0.0   23.4   23.4   47.3   22.7   11.5   15.6  820.60    1740     2487
2014-08-23 18:20:00    462133200  ***  ***    0.0    0.0    0.0   21.6   21.6   59.7   21.5   13.4   16.1  820.60    1742     2436
2014-08-23 18:40:00    462134400  ***  ***    0.0    0.0    0.0   19.9   19.9   67.6   19.6   13.7   15.8  820.70    1740     2379
2014-08-23 19:00:00    462135600  ***  ***    0.0    0.0    0.0   18.1   18.1   72.8   17.5   13.1   14.8  820.80    1740     2316
2014-08-23 19:20:00    462136800  ***  ***    0.5    0.5    0.5   17.7   17.7   67.5   16.9   11.6   13.8  821.20    1735     2290
2014-08-23 19:40:00    462138000  ***  ***    0.0    0.0    0.0   17.3   17.3   69.7   16.6   11.7   13.7  821.20    1735     2276
2014-08-23 20:00:00    462139200  ***  ***    0.7    0.7    0.7   16.8   16.8   71.5   16.2   11.6   13.4  821.60    1731     2255
2014-08-23 20:20:00    462140400  ***  ***    0.0    0.0    0.0   16.6   16.6   71.3   16.0   11.4   13.2  821.60    1731     2246
2014-08-23 20:40:00    462141600  ***  ***    0.0    0.0    0.0   16.3   16.3   73.1   15.7   11.5   13.2  821.70    1729     2234
2014-08-23 21:00:00    462142800  ***  ***    0.7    0.7    0.7   16.5   16.5   70.6   15.8   11.1   13.0  821.90    1729     2238
2014-08-23 21:20:00    462144000  ***  ***    0.0    0.0    0.0   16.0   16.0   72.4   15.4   11.1   12.8  821.90    1727     2221
2014-08-23 21:40:00    462145200  ***  ***    0.4    0.4    0.4   16.0   16.0   71.1   15.3   10.8   12.7  821.90    1729     2222
2014-08-23 22:00:00    462146400  ***  ***    0.6    0.6    0.6   15.6   15.6   72.4   15.0   10.7   12.5  821.90    1729     2207
2014-08-23 22:20:00    462147600  ***  ***    0.0    0.0    0.0   15.3   15.3   73.5   14.8   10.6   12.3  821.90    1729     2197
2014-08-23 22:40:00    462148800  ***  ***    0.6    0.6    0.6   15.4   15.4   72.2   14.8   10.4   12.2  821.90    1727     2198
2014-08-23 23:00:00    462150000  ***  ***    0.7    0.7    0.7   15.1   15.1   73.8   14.6   10.5   12.2  821.80    1729     2190
2014-08-23 23:20:00    462151200  ***  ***    0.0    0.0    0.0   15.1   15.1   73.1   14.6   10.3   12.1  821.80    1729     2188
2014-08-23 23:40:00    462152400  ***  ***    0.0    0.0    0.0   14.8   14.8   73.8   14.3   10.2   11.9  821.70    1729     2180
2014-08-24 00:00:00    462153600  ***  ***    0.4    0.4    0.4   15.0   15.0   70.2   14.4    9.6   11.7  821.60    1731     2186
2014-08-24 00:20:00    462154800  ***  ***    0.0    0.0    0.0   14.8   14.8   70.5   14.2    9.5   11.5  821.70    1731     2176
2014-08-24 00:40:00    462156000  ***  ***    0.0    0.0    0.0   14.7   14.7   70.5   14.1    9.4   11.4  821.60    1731     2173
2014-08-24 01:00:00    462157200  ***  ***    0.6    0.6    0.6   14.7   14.7   70.1   14.1    9.3   11.4  821.50    1733     2174
2014-08-24 01:20:00    462158400  ***  ***    0.4    0.4    0.4   14.6   14.6   70.7   14.0    9.3   11.3  821.30    1733     2173
2014-08-24 01:40:00    462159600  ***  ***    0.0    0.0    0.0   14.6   14.6   70.6   14.0    9.4   11.4  821.50    1733     2174
2014-08-24 02:00:00    462160800  ***  ***    0.0    0.0    0.0   14.4   14.4   72.1   13.9    9.4   11.3  821.20    1735     2170
2014-08-24 02:20:00    462162000  ***  ***    0.0    0.0    0.0   14.2   14.2   73.9   13.8    9.6   11.4  821.30    1735     2162
2014-08-24 02:40:00    462163200  ***  ***    0.0    0.0    0.0   14.5   14.5   73.0   14.0    9.8   11.5  821.10    1735     2175
2014-08-24 03:00:00    462164400  ***  ***    0.6    0.6    0.6   14.8   14.8   72.4   14.3    9.8   11.6  821.10    1735     2183
2014-08-24 03:20:00    462165600  ***  ***    0.0    0.0    0.0   14.5   14.5   74.4   14.1   10.0   11.7  821.20    1735     2173
