FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-30 09:20:00    462705600  ***  ***    0.0    0.0    0.0   30.0   30.0   29.0   28.5   10.1   16.9  822.80    1719     2672
2014-08-30 09:40:00    462706800  ***  ***    0.9    0.9    0.9   28.7   28.7   27.6   26.9    8.1   15.6  822.80    1720     2624
2014-08-30 10:00:00    462708000  ***  ***    0.0    0.0    0.0   28.2   28.2   35.6   27.1   11.6   17.1  822.90    1719     2622
2014-08-30 10:20:00    462709200  ***  ***    0.4    0.4    0.4   27.6   27.6   33.5   26.1   10.1   16.2  822.80    1720     2597
2014-08-30 10:40:00    462710400  ***  ***    0.0    0.0    0.0   28.5   28.5   31.9   27.0   10.2   16.4  822.80    1720     2626
2014-08-30 11:00:00    462711600  ***  ***    1.2    1.2    1.2   28.3   28.3   29.2   26.5    8.7   15.8  822.60    1722     2616
2014-08-30 11:20:00    462712800  ***  ***    0.0    0.0    0.0   30.3   30.3   36.5   30.1   13.8   18.9  822.60    1722     2700
2014-08-30 11:40:00    462714000  ***  ***    0.0    0.0    0.0   30.5   30.5   35.5   30.1   13.5   18.8  822.50    1723     2706
2014-08-30 12:00:00    462715200  ***  ***    1.1    1.1    1.1   29.7   29.7   31.3   28.5   11.0   17.2  822.40    1724     2671
2014-08-30 12:20:00    462716400  ***  ***    0.0    0.0    0.0   30.0   30.0   34.5   29.3   12.7   18.2  822.20    1725     2690
2014-08-30 12:40:00    462717600  ***  ***    0.4    0.4    0.4   31.3   31.3   30.3   30.3   11.8   18.1  822.20    1726     2727
2014-08-30 13:00:00    462718800  ***  ***    0.4    0.4    0.4   32.3   32.3   27.1   31.3   11.0   18.0  822.00    1727     2757
2014-08-30 13:20:00    462720000  ***  ***    0.0    0.0    0.0   32.1   32.1   36.3   32.7   15.3   20.2  821.70    1729     2775
2014-08-30 13:40:00    462721200  ***  ***    0.0    0.0    0.0   33.2   33.2   31.7   33.4   14.1   19.8  821.60    1731     2805
2014-08-30 14:00:00    462722400  ***  ***    0.0    0.0    0.0   34.7   34.7   31.0   35.5   15.1   20.7  821.40    1733     2860
2014-08-30 14:20:00    462723600  ***  ***    0.4    0.4    0.4   35.3   35.3   31.5   36.7   15.8   21.3  821.20    1735     2886
2014-08-30 14:40:00    462724800  ***  ***    0.7    0.7    0.7   35.3   35.3   30.0   36.3   15.1   20.9  821.00    1738     2884
2014-08-30 15:00:00    462726000  ***  ***    1.0    1.0    1.0   31.4   31.4   30.0   30.5   11.7   18.1  820.60    1742     2750
2014-08-30 15:20:00    462727200  ***  ***    0.9    0.9    0.9   32.7   32.7   28.3   32.0   12.0   18.6  820.70    1740     2792
2014-08-30 15:40:00    462728400  ***  ***    0.8    0.8    0.8   34.8   34.8   30.6   35.6   15.0   20.7  820.80    1740     2873
2014-08-30 16:00:00    462729600  ***  ***    0.0    0.0    0.0   32.1   32.1   29.4   31.4   12.1   18.4  820.60    1742     2775
2014-08-30 16:20:00    462730800  ***  ***    0.0    0.0    0.0   34.1   34.1   25.8   33.5   11.8   18.9  820.70    1740     2838
2014-08-30 16:40:00    462732000  ***  ***    0.0    0.0    0.0   32.3   32.3   30.8   31.9   12.9   18.9  820.60    1742     2783
2014-08-30 17:00:00    462733200  ***  ***    0.0    0.0    0.0   28.3   28.3   32.6   26.9   10.3   16.4  820.50    1742     2647
2014-08-30 17:20:00    462734400  ***  ***    0.0    0.0    0.0   27.1   27.1   30.7   25.3    8.4   15.1  820.60    1742     2599
2014-08-30 17:40:00    462735600  ***  ***    0.0    0.0    0.0   27.3   27.3   41.3   26.5   13.0   17.6  820.60    1742     2623
2014-08-30 18:00:00    462736800  ***  ***    0.0    0.0    0.0   25.9   25.9   47.9   25.4   14.0   17.7  820.50    1742     2582
2014-08-30 18:20:00    462738000  ***  ***    0.0    0.0    0.0   24.8   24.8   40.9   23.6   10.7   15.6  820.50    1742     2535
2014-08-30 18:40:00    462739200  ***  ***    0.0    0.0    0.0   21.9   21.9   51.1   21.5   11.3   15.0  820.70    1740     2436
2014-08-30 19:00:00    462740400  ***  ***    0.0    0.0    0.0   20.3   20.3   56.9   19.7   11.5   14.6  820.80    1740     2384
2014-08-30 19:20:00    462741600  ***  ***    0.0    0.0    0.0   20.4   20.4   54.7   19.7   11.0   14.3  821.20    1735     2380
2014-08-30 19:40:00    462742800  ***  ***    0.0    0.0    0.0   19.9   19.9   55.9   19.1   10.8   14.1  821.30    1735     2361
2014-08-30 20:00:00    462744000  ***  ***    0.9    0.9    0.9   20.0   20.0   53.8   19.1   10.4   13.8  821.40    1733     2362
2014-08-30 20:20:00    462745200  ***  ***    0.0    0.0    0.0   19.3   19.3   55.4   18.2   10.2   13.5  821.40    1733     2337
2014-08-30 20:40:00    462746400  ***  ***    0.0    0.0    0.0   19.3   19.3   53.5   18.1    9.7   13.2  821.60    1731     2332
2014-08-30 21:00:00    462747600  ***  ***    0.0    0.0    0.0   18.9   18.9   54.6   17.6    9.6   13.1  821.60    1731     2319
2014-08-30 21:20:00    462748800  ***  ***    0.0    0.0    0.0   19.2   19.2   51.2   17.8    8.9   12.8  821.60    1731     2325
