FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-09-04 08:00:00    463132800  ***  ***    0.0    0.0    0.0   14.9   14.9   59.8   13.8    7.2   10.2  734.00    2636     3282
2014-09-04 08:20:00    463134000  ***  ***    0.0    0.0    0.0   15.2   15.2   63.1   14.2    8.2   10.8  734.20    2633     3290
2014-09-04 08:40:00    463135200  ***  ***    0.0    0.0    0.0   15.8   15.8   59.0   14.6    7.8   10.8  734.30    2632     3308
2014-09-04 09:00:00    463136400  ***  ***    0.8    0.8    0.8   16.2   16.2   54.7   14.8    7.1   10.5  734.40    2632     3318
2014-09-04 09:20:00    463137600  ***  ***    0.9    0.9    0.9   17.3   17.3   54.0   15.7    7.9   11.4  734.60    2629     3354
2014-09-04 09:40:00    463138800  ***  ***    0.0    0.0    0.0   19.5   19.5   49.3   18.2    8.6   12.5  734.50    2631     3432
2014-09-04 10:00:00    463140000  ***  ***    1.1    1.1    1.1   17.9   17.9   47.7   16.0    6.7   10.9  734.70    2629     3370
2014-09-04 10:20:00    463141200  ***  ***    1.9    1.9    1.9   17.7   17.7   48.1   15.8    6.6   10.9  734.60    2629     3363
2014-09-04 10:40:00    463142400  ***  ***    0.6    0.6    0.6   18.0   18.0   46.2   16.0    6.3   10.8  734.60    2629     3372
2014-09-04 11:00:00    463143600  ***  ***    0.7    0.7    0.7   17.6   17.6   53.9   16.0    8.2   11.6  734.80    2627     3364
2014-09-04 11:20:00    463144800  ***  ***    1.8    1.8    1.8   16.7   16.7   51.1   15.1    6.6   10.5  734.60    2629     3332
2014-09-04 11:40:00    463146000  ***  ***    0.0    0.0    0.0   16.8   16.8   55.4   15.4    7.8   11.1  734.30    2632     3342
2014-09-04 12:00:00    463147200  ***  ***    1.1    1.1    1.1   16.6   16.6   58.4   15.4    8.4   11.3  734.50    2630     3334
2014-09-04 12:20:00    463148400  ***  ***    0.0    0.0    0.0   17.2   17.2   56.7   15.8    8.6   11.7  734.40    2631     3358
2014-09-04 12:40:00    463149600  ***  ***    0.7    0.7    0.7   16.4   16.4   56.2   15.0    7.7   10.9  734.60    2629     3324
2014-09-04 13:00:00    463150800  ***  ***    0.0    0.0    0.0   16.7   16.7   59.7   15.5    8.8   11.6  734.20    2633     3342
2014-09-04 13:20:00    463152000  ***  ***    0.0    0.0    0.0   15.2   15.2   71.8   14.7   10.2   11.9  734.20    2634     3299
2014-09-04 13:40:00    463153200  ***  ***    0.0    0.0    0.0   14.9   14.9   75.5   14.5   10.6   12.1  734.00    2636     3292
2014-09-04 14:00:00    463154400  ***  ***    0.0    0.0    0.0   16.7   16.7   58.8   15.5    8.6   11.5  733.90    2637     3347
2014-09-04 14:20:00    463155600  ***  ***    0.7    0.7    0.7   17.0   17.0   60.7   15.8    9.4   12.1  733.40    2642     3367
2014-09-04 14:40:00    463156800  ***  ***    0.0    0.0    0.0   17.7   17.7   56.2   16.2    8.8   12.0  733.50    2642     3385
2014-09-04 15:00:00    463158000  ***  ***    0.0    0.0    0.0   17.5   17.5   55.9   16.0    8.6   11.8  733.40    2642     3378
2014-09-04 15:20:00    463159200  ***  ***    0.3    0.3    0.3   18.0   18.0   50.9   16.3    7.7   11.5  733.20    2645     3397
2014-09-04 15:40:00    463160400  ***  ***    0.0    0.0    0.0   18.0   18.0   52.6   16.4    8.2   11.8  733.00    2647     3401
2014-09-04 16:00:00    463161600  ***  ***    0.7    0.7    0.7   18.0   18.0   52.8   16.4    8.3   11.9  733.20    2644     3399
2014-09-04 16:20:00    463162800  ***  ***    0.0    0.0    0.0   18.0   18.0   50.2   16.2    7.5   11.4  732.90    2648     3400
2014-09-04 16:40:00    463164000  ***  ***    0.6    0.6    0.6   16.9   16.9   59.3   15.6    8.9   11.8  733.00    2647     3366
2014-09-04 17:00:00    463165200  ***  ***    0.0    0.0    0.0   16.7   16.7   59.9   15.5    8.9   11.7  733.20    2645     3357
2014-09-04 17:20:00    463166400  ***  ***    0.0    0.0    0.0   15.8   15.8   64.2   14.9    9.0   11.4  733.20    2644     3327
2014-09-04 17:40:00    463167600  ***  ***    0.0    0.0    0.0   15.0   15.0   68.4   14.3    9.3   11.3  733.20    2644     3302
2014-09-04 18:00:00    463168800  ***  ***    0.0    0.0    0.0   10.0   10.0   89.9   10.1    8.4    9.0  733.70    2639     3123
2014-09-04 18:20:00    463170000  ***  ***    0.0    0.0    0.0   11.1   11.1   96.7   11.5   10.6   10.8  733.60    2641     3169
2014-09-04 18:40:00    463171200  ***  ***    0.0    0.0    0.0   10.5   10.5   95.5   10.8    9.8   10.0  733.50    2641     3148
2014-09-04 19:00:00    463172400  ***  ***    0.3    0.3    0.3   10.6   10.6   93.3   10.8    9.5    9.9  733.90    2637     3144
2014-09-04 19:20:00    463173600  ***  ***    0.0    0.0    0.0   10.2   10.2   96.8   10.5    9.7    9.9  734.10    2634     3128
2014-09-04 19:40:00    463174800  ***  ***    0.0    0.0    0.0   10.3   10.3   96.4   10.6    9.7    9.9  734.60    2630     3125
2014-09-04 20:00:00    463176000  ***  ***    0.0    0.0    0.0   10.4   10.4   95.1   10.7    9.6    9.9  734.80    2628     3127
