FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-16 08:40:00    461493600  ***  ***    0.8    0.8    0.8   15.3   15.3   75.7   14.9   11.1   12.5  739.10    2580     3243
2014-08-16 09:00:00    461494800  ***  ***    1.0    1.0    1.0   15.8   15.8   76.9   15.5   11.7   13.1  739.10    2581     3261
2014-08-16 09:20:00    461496000  ***  ***    0.0    0.0    0.0   18.7   18.7   64.4   17.8   11.9   14.1  739.40    2577     3354
2014-08-16 09:40:00    461497200  ***  ***    1.4    1.4    1.4   15.5   15.5   74.1   15.0   10.9   12.4  739.30    2578     3246
2014-08-16 10:00:00    461498400  ***  ***    0.7    0.7    0.7   16.2   16.2   73.1   15.6   11.4   13.0  739.20    2579     3273
2014-08-16 10:20:00    461499600  ***  ***    1.3    1.3    1.3   17.2   17.2   71.9   16.6   12.1   13.7  739.80    2573     3302
2014-08-16 10:40:00    461500800  ***  ***    0.0    0.0    0.0   17.1   17.1   70.3   16.4   11.6   13.4  739.30    2578     3300
2014-08-16 11:00:00    461502000  ***  ***    0.7    0.7    0.7   16.8   16.8   72.6   16.2   11.8   13.4  739.40    2577     3291
2014-08-16 11:20:00    461503200  ***  ***    1.1    1.1    1.1   16.6   16.6   75.5   16.2   12.3   13.7  739.10    2581     3291
2014-08-16 11:40:00    461504400  ***  ***    0.0    0.0    0.0   16.4   16.4   78.5   16.1   12.7   13.9  739.50    2576     3281
2014-08-16 12:00:00    461505600  ***  ***    0.7    0.7    0.7   15.0   15.0   83.4   15.0   12.2   13.1  739.50    2576     3232
2014-08-16 12:20:00    461506800  ***  ***    0.0    0.0    0.0   15.4   15.4   85.0   15.4   12.9   13.7  739.30    2577     3251
2014-08-16 12:40:00    461508000  ***  ***    0.0    0.0    0.0   15.1   15.1   85.3   15.1   12.6   13.4  739.30    2578     3239
2014-08-16 13:00:00    461509200  ***  ***    0.4    0.4    0.4   15.3   15.3   82.3   15.2   12.3   13.3  739.00    2581     3248
2014-08-16 13:20:00    461510400  ***  ***    0.6    0.6    0.6   15.9   15.9   78.4   15.6   12.1   13.3  739.00    2581     3268
2014-08-16 13:40:00    461511600  ***  ***    0.7    0.7    0.7   17.5   17.5   75.6   17.1   13.1   14.5  739.00    2581     3325
2014-08-16 14:00:00    461512800  ***  ***    0.4    0.4    0.4   18.2   18.2   72.2   17.6   13.1   14.7  738.80    2583     3352
2014-08-16 14:20:00    461514000  ***  ***    1.2    1.2    1.2   17.7   17.7   70.5   17.0   12.2   14.0  738.50    2586     3335
2014-08-16 14:40:00    461515200  ***  ***    1.3    1.3    1.3   19.1   19.1   69.3   18.6   13.3   15.1  738.50    2586     3385
2014-08-16 15:00:00    461516400  ***  ***    0.0    0.0    0.0   18.6   18.6   68.8   17.9   12.8   14.7  738.10    2591     3374
2014-08-16 15:20:00    461517600  ***  ***    0.4    0.4    0.4   16.9   16.9   76.1   16.5   12.7   14.0  738.30    2589     3314
2014-08-16 15:40:00    461518800  ***  ***    0.0    0.0    0.0   16.8   16.8   74.8   16.3   12.3   13.7  738.10    2591     3310
2014-08-16 16:00:00    461520000  ***  ***    0.0    0.0    0.0   16.6   16.6   75.5   16.2   12.3   13.7  737.90    2593     3308
2014-08-16 16:20:00    461521200  ***  ***    0.0    0.0    0.0   17.3   17.3   76.8   16.9   13.2   14.5  738.10    2591     3333
2014-08-16 16:40:00    461522400  ***  ***    1.0    1.0    1.0   18.0   18.0   65.4   17.0   11.4   13.6  737.60    2597     3352
2014-08-16 17:00:00    461523600  ***  ***    0.9    0.9    0.9   17.4   17.4   66.9   16.5   11.2   13.2  737.90    2593     3328
2014-08-16 17:20:00    461524800  ***  ***    0.0    0.0    0.0   16.6   16.6   73.5   16.1   11.9   13.4  737.80    2594     3307
2014-08-16 17:40:00    461526000  ***  ***    0.0    0.0    0.0   17.1   17.1   71.9   16.5   12.0   13.6  737.70    2595     3325
2014-08-16 18:00:00    461527200  ***  ***    0.0    0.0    0.0   16.1   16.1   74.6   15.6   11.6   13.1  737.50    2598     3293
2014-08-16 18:20:00    461528400  ***  ***    0.0    0.0    0.0   15.6   15.6   75.9   15.2   11.4   12.8  738.20    2590     3265
2014-08-16 18:40:00    461529600  ***  ***    0.0    0.0    0.0   15.3   15.3   76.6   14.9   11.3   12.6  738.50    2587     3252
2014-08-16 19:00:00    461530800  ***  ***    0.0    0.0    0.0   14.9   14.9   78.2   14.6   11.1   12.4  738.10    2591     3241
2014-08-16 19:20:00    461532000  ***  ***    0.0    0.0    0.0   15.1   15.1   76.8   14.7   11.0   12.4  737.80    2594     3252
2014-08-16 19:40:00    461533200  ***  ***    0.4    0.4    0.4   14.6   14.6   80.8   14.5   11.4   12.5  738.40    2588     3230
2014-08-16 20:00:00    461534400  ***  ***    0.7    0.7    0.7   14.9   14.9   75.6   14.5   10.7   12.2  738.60    2585     3234
2014-08-16 20:20:00    461535600  ***  ***    0.0    0.0    0.0   14.6   14.6   79.0   14.4   11.0   12.2  739.20    2579     3216
2014-08-16 20:40:00    461536800  ***  ***    0.4    0.4    0.4    9.3    9.3   91.6    9.5    8.0    8.5  740.00    2570     3013
