FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-28 10:00:00    462535200  ***  ***    0.0    0.0    0.0   20.7   20.7   55.3   20.2   11.4   14.4  738.60    2585     3428
2014-08-28 10:20:00    462536400  ***  ***    0.6    0.6    0.6   17.2   17.2   63.2   16.1   10.1   12.6  738.40    2588     3310
2014-08-28 10:40:00    462537600  ***  ***    1.1    1.1    1.1   15.7   15.7   49.0   14.1    5.0    9.3  738.10    2591     3246
2014-08-28 11:00:00    462538800  ***  ***    0.3    0.3    0.3   16.0   16.0   59.3   14.8    8.1   11.0  738.10    2591     3267
2014-08-28 11:20:00    462540000  ***  ***    0.0    0.0    0.0   17.5   17.5   51.6   15.8    7.4   11.2  738.10    2591     3314
2014-08-28 11:40:00    462541200  ***  ***    0.7    0.7    0.7   16.6   16.6   49.7   14.9    6.0   10.2  737.90    2593     3281
2014-08-28 12:00:00    462542400  ***  ***    1.1    1.1    1.1   17.6   17.6   58.0   16.2    9.3   12.2  737.80    2594     3329
2014-08-28 12:20:00    462543600  ***  ***    0.5    0.5    0.4   17.9   17.9   57.2   16.5    9.3   12.3  737.60    2596     3341
2014-08-28 12:40:00    462544800  ***  ***    1.7    1.7    1.7   18.8   18.8   49.8   17.2    8.1   12.0  737.30    2599     3369
2014-08-28 13:00:00    462546000  ***  ***    0.9    0.9    0.9   17.5   17.5   52.1   15.8    7.6   11.2  737.50    2598     3323
2014-08-28 13:20:00    462547200  ***  ***    0.3    0.3    0.3   17.0   17.0   57.2   15.6    8.4   11.5  737.30    2600     3311
2014-08-28 13:40:00    462548400  ***  ***    0.0    0.0    0.0   17.6   17.6   55.9   16.1    8.7   11.9  736.80    2605     3340
2014-08-28 14:00:00    462549600  ***  ***    0.0    0.0    0.0   17.0   17.0   55.7   15.6    8.1   11.3  736.90    2604     3316
2014-08-28 14:20:00    462550800  ***  ***    0.6    0.6    0.6   17.1   17.1   46.9   15.3    5.7   10.2  736.60    2607     3315
2014-08-28 14:40:00    462552000  ***  ***    0.7    0.7    0.7   17.3   17.3   45.9   15.4    5.5   10.1  736.60    2607     3320
2014-08-28 15:00:00    462553200  ***  ***    0.0    0.0    0.0   16.5   16.5   50.7   14.9    6.3   10.3  736.50    2609     3299
2014-08-28 15:20:00    462554400  ***  ***    0.4    0.4    0.4   17.2   17.2   52.1   15.6    7.3   11.0  736.50    2608     3325
2014-08-28 15:40:00    462555600  ***  ***    0.0    0.0    0.0   17.8   17.8   57.2   16.4    9.2   12.2  736.50    2608     3350
2014-08-28 16:00:00    462556800  ***  ***    0.3    0.3    0.3   17.1   17.1   53.2   15.6    7.5   11.1  736.20    2612     3327
2014-08-28 16:20:00    462558000  ***  ***    1.1    1.1    1.1   16.1   16.1   54.0   14.6    6.8   10.4  736.40    2609     3288
2014-08-28 16:40:00    462559200  ***  ***    1.5    1.5    1.5   16.4   16.4   55.2   15.0    7.4   10.8  736.10    2613     3305
2014-08-28 17:00:00    462560400  ***  ***    0.5    0.5    0.5   16.5   16.5   50.1   14.8    6.1   10.1  736.00    2614     3305
2014-08-28 17:20:00    462561600  ***  ***    0.0    0.0    0.0   16.3   16.3   50.6   14.6    6.0   10.0  736.20    2612     3294
2014-08-28 17:40:00    462562800  ***  ***    0.8    0.8    0.8   15.8   15.8   52.5   14.4    6.1    9.9  736.40    2610     3274
2014-08-28 18:00:00    462564000  ***  ***    0.0    0.0    0.0   15.0   15.0   56.1   13.7    6.4    9.7  736.50    2609     3249
2014-08-28 18:20:00    462565200  ***  ***    0.0    0.0    0.0   13.9   13.9   60.8   12.9    6.5    9.4  736.20    2612     3216
2014-08-28 18:40:00    462566400  ***  ***    0.9    0.9    0.9   15.3   15.3   54.5   14.0    6.1    9.7  736.30    2611     3259
2014-08-28 19:00:00    462567600  ***  ***    0.0    0.0    0.0   12.8   12.8   67.4   12.1    6.9    9.3  736.40    2609     3177
2014-08-28 19:20:00    462568800  ***  ***    0.0    0.0    0.0   12.3   12.3   70.4   11.8    7.0    9.0  736.60    2608     3156
2014-08-28 19:40:00    462570000  ***  ***    0.0    0.0    0.0   12.0   12.0   69.1   11.4    6.5    8.7  736.70    2607     3145
2014-08-28 20:00:00    462571200  ***  ***    0.0    0.0    0.0   11.8   11.8   73.4   11.4    7.1    8.9  736.80    2606     3138
2014-08-28 20:20:00    462572400  ***  ***    0.0    0.0    0.0   12.2   12.2   70.2   11.7    6.9    9.0  737.00    2603     3147
2014-08-28 20:40:00    462573600  ***  ***    0.0    0.0    0.0   11.9   11.9   72.6   11.5    7.1    9.0  736.80    2605     3141
2014-08-28 21:00:00    462574800  ***  ***    0.4    0.4    0.4   12.1   12.1   69.8   11.6    6.8    8.9  737.20    2600     3143
2014-08-28 21:20:00    462576000  ***  ***    0.0    0.0    0.0   11.5   11.5   73.6   11.1    6.9    8.8  737.00    2603     3124
2014-08-28 21:40:00    462577200  ***  ***    0.5    0.5    0.5   12.1   12.1   69.9   11.6    6.8    8.9  737.10    2602     3143
2014-08-28 22:00:00    462578400  ***  ***    0.0    0.0    0.0   11.4   11.4   70.3   10.9    6.2    8.3  737.30    2600     3117
