FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-09-03 08:20:00    463047600  ***  ***    0.0    0.0    0.0   22.0   22.0   41.5   21.2    8.3   13.3  769.70    2257     3059
2014-09-03 08:40:00    463048800  ***  ***    0.0    0.0    0.0   22.8   22.8   37.8   21.6    7.7   13.2  769.90    2255     3082
2014-09-03 09:00:00    463050000  ***  ***    0.0    0.0    0.0   27.7   27.7   33.4   26.2   10.2   16.0  769.70    2256     3251
2014-09-03 09:20:00    463051200  ***  ***    0.0    0.0    0.0   25.0   25.0   35.1   23.5    8.6   14.4  769.70    2256     3157
2014-09-03 09:40:00    463052400  ***  ***    0.0    0.0    0.0   27.9   27.9   32.3   26.4    9.9   15.9  769.60    2258     3259
2014-09-03 10:00:00    463053600  ***  ***    0.0    0.0    0.0   27.8   27.8   36.2   26.6   11.4   16.7  769.80    2255     3256
2014-09-03 10:20:00    463054800  ***  ***    0.8    0.8    0.8   22.9   22.9   37.5   21.7    7.7   13.2  769.50    2259     3090
2014-09-03 10:40:00    463056000  ***  ***    0.0    0.0    0.0   26.1   26.1   36.0   24.7    9.9   15.4  769.30    2260     3203
2014-09-03 11:00:00    463057200  ***  ***    0.0    0.0    0.0   26.2   26.2   35.1   24.8    9.6   15.3  769.50    2259     3202
2014-09-03 11:20:00    463058400  ***  ***    0.0    0.0    0.0   26.9   26.9   37.8   25.7   11.3   16.4  769.50    2259     3233
2014-09-03 11:40:00    463059600  ***  ***    0.0    0.0    0.0   26.4   26.4   40.5   25.4   11.9   16.5  769.10    2263     3225
2014-09-03 12:00:00    463060800  ***  ***    0.0    0.0    0.0   26.7   26.7   34.7   25.2    9.8   15.5  769.10    2263     3225
2014-09-03 12:20:00    463062000  ***  ***    0.0    0.0    0.0   24.1   24.1   39.8   22.8    9.6   14.6  768.80    2266     3145
2014-09-03 12:40:00    463063200  ***  ***    0.0    0.0    0.0   22.6   22.6   43.0   21.8    9.4   14.0  768.90    2266     3092
2014-09-03 13:00:00    463064400  ***  ***    0.0    0.0    0.0   24.6   24.6   39.5   23.3    9.9   14.9  768.70    2267     3161
2014-09-03 13:20:00    463065600  ***  ***    0.0    0.0    0.0   25.7   25.7   42.1   24.7   11.9   16.3  768.70    2268     3206
2014-09-03 13:40:00    463066800  ***  ***    0.0    0.0    0.0   26.6   26.6   37.9   25.4   11.1   16.1  768.60    2269     3235
2014-09-03 14:00:00    463068000  ***  ***    0.0    0.0    0.0   24.6   24.6   40.0   23.4   10.1   15.0  768.40    2270     3167
2014-09-03 14:20:00    463069200  ***  ***    0.0    0.0    0.0   22.9   22.9   38.7   21.8    8.1   13.4  768.20    2273     3106
2014-09-03 14:40:00    463070400  ***  ***    0.0    0.0    0.0   22.4   22.4   42.0   21.5    8.9   13.7  767.90    2276     3097
2014-09-03 15:00:00    463071600  ***  ***    0.0    0.0    0.0   21.4   21.4   43.7   20.7    8.6   13.2  767.90    2275     3063
2014-09-03 15:20:00    463072800  ***  ***    0.0    0.0    0.0   21.3   21.3   41.9   20.5    7.8   12.8  767.80    2277     3058
2014-09-03 15:40:00    463074000  ***  ***    1.0    1.0    1.0   21.3   21.3   41.2   20.5    7.6   12.6  767.70    2278     3059
2014-09-03 16:00:00    463075200  ***  ***    0.7    0.7    0.7   22.6   22.6   41.7   21.7    8.9   13.7  767.60    2278     3106
2014-09-03 16:20:00    463076400  ***  ***    1.0    1.0    1.0   23.4   23.4   43.4   22.5   10.3   14.7  767.20    2282     3144
2014-09-03 16:40:00    463077600  ***  ***    1.8    1.8    1.8   22.9   22.9   40.3   21.9    8.7   13.8  767.10    2284     3124
2014-09-03 17:00:00    463078800  ***  ***    0.8    0.8    0.8   21.7   21.7   40.0   20.8    7.6   12.8  767.40    2280     3076
2014-09-03 17:20:00    463080000  ***  ***    1.2    1.2    1.2   21.3   21.3   41.2   20.5    7.6   12.6  767.60    2279     3060
2014-09-03 17:40:00    463081200  ***  ***    0.7    0.7    0.7   20.6   20.6   40.5   19.3    6.7   12.0  767.70    2278     3033
2014-09-03 18:00:00    463082400  ***  ***    1.2    1.2    1.2   20.0   20.0   37.5   18.3    5.0   11.0  767.70    2278     3008
2014-09-03 18:20:00    463083600  ***  ***    0.0    0.0    0.0   19.3   19.3   39.2   17.4    5.1   10.8  767.20    2283     2992
2014-09-03 18:40:00    463084800  ***  ***    1.9    1.9    1.9   19.8   19.8   41.0   18.3    6.2   11.5  767.20    2283     3013
2014-09-03 19:00:00    463086000  ***  ***    1.7    1.7    1.7   19.3   19.3   44.5   17.6    7.0   11.6  767.30    2282     2998
2014-09-03 19:20:00    463087200  ***  ***    1.4    1.4    1.4   19.6   19.6   42.9   18.1    6.7   11.6  767.50    2279     3001
2014-09-03 19:40:00    463088400  ***  ***    1.8    1.8    1.8   19.7   19.7   42.2   18.1    6.5   11.6  767.60    2279     3004
2014-09-03 20:00:00    463089600  ***  ***    1.6    1.6    1.6   19.3   19.3   43.1   17.6    6.5   11.4  767.80    2277     2988
2014-09-03 20:20:00    463090800  ***  ***    2.2    2.2    2.2   19.2   19.2   43.2   17.5    6.4   11.3  767.90    2276     2982
