FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-15 14:20:00    461427600  ***  ***    0.0    0.0    0.0   23.0   23.0   69.9   23.4   17.3   18.9  771.70    2236     3109
2014-08-15 14:40:00    461428800  ***  ***    0.0    0.0    0.0   20.8   20.8   79.0   21.3   17.0   18.1  771.70    2237     3034
2014-08-15 15:00:00    461430000  ***  ***    0.0    0.0    0.0   21.7   21.7   79.5   22.4   18.0   19.0  771.60    2237     3072
2014-08-15 15:20:00    461431200  ***  ***    0.0    0.0    0.0   20.8   20.8   79.3   21.3   17.1   18.1  771.30    2241     3040
2014-08-15 15:40:00    461432400  ***  ***    0.0    0.0    0.0   19.8   19.8   77.7   19.9   15.8   17.0  771.50    2239     2998
2014-08-15 16:00:00    461433600  ***  ***    0.6    0.6    0.6   19.2   19.2   78.2   19.1   15.3   16.5  771.40    2239     2973
2014-08-15 16:20:00    461434800  ***  ***    1.0    1.0    1.0   20.4   20.4   72.0   20.5   15.2   16.8  771.40    2240     3016
2014-08-15 16:40:00    461436000  ***  ***    1.1    1.1    1.1   19.1   19.1   73.8   18.8   14.3   15.8  771.20    2241     2969
2014-08-15 17:00:00    461437200  ***  ***    0.8    0.8    0.8   18.5   18.5   74.2   18.0   13.8   15.3  771.60    2237     2939
2014-08-15 17:20:00    461438400  ***  ***    0.0    0.0    0.0   16.3   16.3   93.8   16.8   15.3   15.6  771.50    2239     2878
2014-08-15 17:40:00    461439600  ***  ***    0.0    0.0    0.0   16.2   16.2   99.1   16.9   16.0   16.1  771.80    2235     2872
2014-08-15 18:00:00    461440800  ***  ***    0.0    0.0    0.0   13.4   13.4  100.0   14.0   13.4   13.4  771.80    2236     2767
2014-08-15 18:20:00    461442000  ***  ***    0.0    0.0    0.0   12.2   12.2  100.0   12.8   12.2   12.2  771.50    2238     2722
2014-08-15 18:40:00    461443200  ***  ***    0.0    0.0    0.0   12.1   12.1  100.0   12.6   12.1   12.1  771.70    2237     2716
2014-08-15 19:00:00    461444400  ***  ***    1.0    1.0    1.0   11.9   11.8  100.0   12.4   11.9   11.9  771.80    2235     2706
2014-08-15 19:20:00    461445600  ***  ***    0.8    0.8    0.8   12.4   12.4  100.0   13.0   12.4   12.4  771.90    2235     2725
2014-08-15 19:40:00    461446800  ***  ***    0.0    0.0    0.0   15.9   15.9   97.2   16.5   15.5   15.6  772.00    2233     2859
2014-08-15 20:00:00    461448000  ***  ***    0.0    0.0    0.0   16.6   16.6   73.8   16.1   11.9   13.4  772.20    2232     2863
2014-08-15 20:20:00    461449200  ***  ***    0.0    0.0    0.0   16.4   16.4   73.9   15.9   11.7   13.3  772.40    2229     2853
2014-08-15 20:40:00    461450400  ***  ***    0.0    0.0    0.0   14.5   14.5   88.5   14.7   12.6   13.2  772.90    2224     2786
2014-08-15 21:00:00    461451600  ***  ***    0.0    0.0    0.0   14.4   14.4   89.7   14.6   12.7   13.3  772.60    2227     2784
2014-08-15 21:20:00    461452800  ***  ***    0.0    0.0    0.0   15.8   15.8   71.0   15.1   10.6   12.4  772.50    2228     2828
2014-08-15 21:40:00    461454000  ***  ***    0.6    0.6    0.6   16.8   16.8   70.2   16.1   11.3   13.2  772.70    2225     2859
2014-08-15 22:00:00    461455200  ***  ***    1.1    1.1    1.1   15.8   15.8   79.5   15.6   12.3   13.5  772.70    2225     2830
2014-08-15 22:20:00    461456400  ***  ***    1.3    1.3    1.3   16.0   16.0   78.5   15.7   12.3   13.5  772.60    2228     2840
2014-08-15 22:40:00    461457600  ***  ***    1.2    1.2    1.2   15.9   15.9   78.0   15.6   12.1   13.4  773.00    2224     2830
2014-08-15 23:00:00    461458800  ***  ***    0.9    0.9    0.9   16.3   16.3   73.7   15.8   11.6   13.2  772.60    2228     2847
2014-08-15 23:20:00    461460000  ***  ***    0.0    0.0    0.0   16.4   16.4   72.1   15.8   11.4   13.1  772.70    2227     2849
2014-08-15 23:40:00    461461200  ***  ***    0.9    0.9    0.9   16.3   16.3   73.5   15.8   11.5   13.1  772.80    2225     2843
2014-08-16 00:00:00    461462400  ***  ***    1.0    1.0    1.0   16.2   16.2   73.1   15.6   11.4   13.0  772.60    2227     2840
2014-08-16 00:20:00    461463600  ***  ***    0.0    0.0    0.0   17.0   17.0   65.9   16.1   10.6   12.8  772.70    2227     2866
2014-08-16 00:40:00    461464800  ***  ***    0.6    0.6    0.6   16.5   16.5   70.8   15.8   11.1   12.9  772.30    2231     2854
2014-08-16 01:00:00    461466000  ***  ***    0.0    0.0    0.0   16.3   16.3   71.5   15.7   11.1   12.9  772.20    2232     2848
2014-08-16 01:20:00    461467200  ***  ***    0.0    0.0    0.0   16.6   16.6   69.9   15.9   11.1   13.0  772.10    2233     2860
2014-08-16 01:40:00    461468400  ***  ***    0.0    0.0    0.0   16.1   16.1   74.2   15.6   11.5   13.1  772.50    2228     2838
2014-08-16 02:00:00    461469600  ***  ***    0.7    0.7    0.7   16.6   16.6   71.0   15.9   11.3   13.1  772.10    2232     2860
2014-08-16 02:20:00    461470800  ***  ***    0.0    0.0    0.0   16.4   16.4   71.7   15.8   11.3   13.0  772.20    2232     2855
