FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-27 10:20:00    462450000  ***  ***    0.0    0.0    0.0   17.0   17.0   93.0   17.4   15.9   16.3  774.50    2208     2869
2014-08-27 10:40:00    462451200  ***  ***    0.0    0.0    0.0   17.9   17.9   90.2   18.2   16.3   16.8  774.30    2210     2901
2014-08-27 11:00:00    462452400  ***  ***    0.0    0.0    0.0   18.4   18.4   87.7   18.6   16.3   16.9  774.30    2210     2918
2014-08-27 11:20:00    462453600  ***  ***    0.0    0.0    0.0   22.5   22.5   77.4   23.2   18.3   19.4  774.20    2210     3066
2014-08-27 11:40:00    462454800  ***  ***    0.0    0.0    0.0   21.5   21.5   78.9   22.2   17.7   18.8  774.20    2210     3031
2014-08-27 12:00:00    462456000  ***  ***    0.0    0.0    0.0   20.0   20.0   79.8   20.2   16.4   17.5  773.80    2214     2979
2014-08-27 12:20:00    462457200  ***  ***    0.0    0.0    0.0   24.3   24.3   71.4   24.9   18.8   20.2  773.90    2214     3133
2014-08-27 12:40:00    462458400  ***  ***    0.0    0.0    0.0   22.5   22.5   70.6   22.9   16.9   18.5  774.00    2213     3063
2014-08-27 13:00:00    462459600  ***  ***    0.0    0.0    0.0   21.5   21.5   75.1   22.1   17.0   18.3  773.70    2216     3034
2014-08-27 13:20:00    462460800  ***  ***    0.0    0.0    0.0   24.1   24.1   69.0   24.6   18.0   19.6  774.00    2213     3120
2014-08-27 13:40:00    462462000  ***  ***    0.0    0.0    0.0   21.2   21.2   75.3   21.7   16.7   18.0  773.60    2217     3022
2014-08-27 14:00:00    462463200  ***  ***    0.0    0.0    0.0   20.5   20.5   75.8   20.7   16.0   17.3  773.30    2219     2997
2014-08-27 14:20:00    462464400  ***  ***    0.0    0.0    0.0   23.0   23.0   64.0   23.2   15.8   17.9  773.30    2220     3081
2014-08-27 14:40:00    462465600  ***  ***    0.0    0.0    0.0   23.9   23.9   64.6   24.1   16.8   18.7  773.10    2222     3117
2014-08-27 15:00:00    462466800  ***  ***    0.0    0.0    0.0   22.5   22.5   72.8   23.0   17.4   18.8  772.50    2228     3083
2014-08-27 15:20:00    462468000  ***  ***    0.0    0.0    0.0   24.3   24.3   59.4   24.2   15.8   18.3  772.80    2225     3127
2014-08-27 15:40:00    462469200  ***  ***    0.0    0.0    0.0   27.2   27.2   55.1   27.9   17.4   20.0  772.60    2227     3232
2014-08-27 16:00:00    462470400  ***  ***    0.0    0.0    0.0   23.5   23.5   65.8   23.7   16.7   18.6  772.40    2228     3112
2014-08-27 16:20:00    462471600  ***  ***    0.0    0.0    0.0   27.4   27.4   52.0   27.8   16.7   19.6  772.50    2228     3238
2014-08-27 16:40:00    462472800  ***  ***    1.3    1.3    1.3   21.8   21.8   64.1   22.0   14.7   16.8  772.60    2228     3045
2014-08-27 17:00:00    462474000  ***  ***    0.0    0.0    0.0   20.1   20.1   65.2   19.7   13.4   15.5  771.90    2234     2989
2014-08-27 17:20:00    462475200  ***  ***    0.7    0.7    0.7   21.6   21.6   56.8   21.4   12.7   15.6  772.40    2228     3031
2014-08-27 17:40:00    462476400  ***  ***    0.7    0.7    0.7   21.0   21.0   59.6   20.7   12.9   15.5  772.40    2229     3012
2014-08-27 18:00:00    462477600  ***  ***    0.0    0.0    0.0   22.3   22.3   51.2   21.9   11.8   15.2  772.40    2228     3048
2014-08-27 18:20:00    462478800  ***  ***    0.0    0.0    0.0   19.2   19.2   59.5   18.2   11.1   13.8  772.90    2224     2937
2014-08-27 18:40:00    462480000  ***  ***    0.0    0.0    0.0   17.4   17.4   64.5   16.4   10.7   13.0  773.00    2222     2874
2014-08-27 19:00:00    462481200  ***  ***    0.0    0.0    0.0   17.0   17.0   65.4   16.0   10.5   12.8  772.90    2224     2861
2014-08-27 19:20:00    462482400  ***  ***    1.5    1.5    1.5   16.9   16.9   68.2   16.1   11.0   13.0  773.00    2224     2860
2014-08-27 19:40:00    462483600  ***  ***    0.0    0.0    0.0   16.7   16.7   70.9   16.0   11.4   13.2  773.20    2220     2851
2014-08-27 20:00:00    462484800  ***  ***    0.6    0.6    0.6   16.5   16.5   74.1   16.0   11.8   13.3  773.20    2221     2845
2014-08-27 20:20:00    462486000  ***  ***    0.9    0.9    0.9   16.3   16.3   71.2   15.6   11.1   12.9  773.40    2219     2836
2014-08-27 20:40:00    462487200  ***  ***    0.6    0.6    0.6   16.0   16.0   70.9   15.3   10.8   12.6  773.60    2216     2819
2014-08-27 21:00:00    462488400  ***  ***    0.0    0.0    0.0   16.0   16.0   68.1   15.3   10.1   12.2  773.70    2216     2815
2014-08-27 21:20:00    462489600  ***  ***    0.0    0.0    0.0   15.6   15.6   70.9   15.0   10.3   12.2  773.50    2218     2805
2014-08-27 21:40:00    462490800  ***  ***    0.5    0.5    0.5   16.0   16.0   69.7   15.3   10.4   12.4  773.50    2218     2818
2014-08-27 22:00:00    462492000  ***  ***    0.0    0.0    0.0   15.9   15.9   70.2   15.2   10.5   12.4  773.50    2217     2815
2014-08-27 22:20:00    462493200  ***  ***    0.0    0.0    0.0   16.1   16.1   71.2   15.4   10.8   12.7  773.70    2216     2821
