FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-08-14 09:00:00    461322000  ***  ***    0.0    0.0    0.0   19.3   19.3   75.6   19.2   14.9   16.3  807.50    1872     2528
2014-08-14 09:20:00    461323200  ***  ***    0.0    0.0    0.0   19.9   19.9   75.0   20.0   15.4   16.8  807.50    1871     2549
2014-08-14 09:40:00    461324400  ***  ***    0.0    0.0    0.0   19.7   19.7   73.9   19.6   14.9   16.4  807.60    1871     2539
2014-08-14 10:00:00    461325600  ***  ***    0.0    0.0    0.0   19.9   19.9   72.4   19.8   14.8   16.4  807.30    1873     2548
2014-08-14 10:20:00    461326800  ***  ***    0.0    0.0    0.0   19.7   19.7   76.2   19.7   15.4   16.7  807.30    1874     2545
2014-08-14 10:40:00    461328000  ***  ***    0.0    0.0    0.0   19.9   19.9   76.1   20.0   15.6   16.9  807.30    1873     2551
2014-08-14 11:00:00    461329200  ***  ***    0.0    0.0    0.0   20.5   20.5   75.1   20.7   15.9   17.3  807.40    1873     2573
2014-08-14 11:20:00    461330400  ***  ***    1.2    1.2    1.2   19.5   19.5   77.5   19.5   15.4   16.7  807.20    1874     2538
2014-08-14 11:40:00    461331600  ***  ***    0.0    0.0    0.0   20.7   20.7   75.5   21.0   16.2   17.5  806.90    1877     2586
2014-08-14 12:00:00    461332800  ***  ***    0.0    0.0    0.0   21.8   21.8   71.6   22.2   16.4   18.0  806.80    1879     2627
2014-08-14 12:20:00    461334000  ***  ***    0.0    0.0    0.0   21.9   21.9   67.9   22.2   15.7   17.5  806.70    1879     2625
2014-08-14 12:40:00    461335200  ***  ***    0.0    0.0    0.0   21.6   21.6   67.8   21.9   15.4   17.3  806.70    1879     2616
2014-08-14 13:00:00    461336400  ***  ***    0.0    0.0    0.0   22.5   22.5   70.7   22.9   17.0   18.6  806.60    1881     2657
2014-08-14 13:20:00    461337600  ***  ***    0.3    0.3    0.3   21.7   21.7   72.3   22.2   16.5   18.1  806.30    1883     2631
2014-08-14 13:40:00    461338800  ***  ***    0.0    0.0    0.0   24.8   24.8   58.9   24.7   16.2   18.7  806.10    1885     2731
2014-08-14 14:00:00    461340000  ***  ***    0.0    0.0    0.0   24.4   24.4   62.5   24.5   16.7   18.9  805.60    1891     2729
2014-08-14 14:20:00    461341200  ***  ***    0.0    0.0    0.0   24.7   24.7   63.9   24.9   17.4   19.5  805.10    1895     2749
2014-08-14 14:40:00    461342400  ***  ***    0.0    0.0    0.0   24.4   24.4   63.2   24.6   17.0   19.1  805.10    1895     2737
2014-08-14 15:00:00    461343600  ***  ***    0.0    0.0    0.0   27.7   27.7   55.3   28.6   17.9   20.5  804.90    1897     2851
2014-08-14 15:20:00    461344800  ***  ***    0.5    0.5    0.5   25.0   25.0   64.9   25.4   17.9   19.9  805.10    1895     2761
2014-08-14 15:40:00    461346000  ***  ***    0.0    0.0    0.0   25.2   25.2   63.1   25.6   17.7   19.8  804.90    1897     2771
2014-08-14 16:00:00    461347200  ***  ***    0.8    0.8    0.8   21.3   21.3   72.2   21.7   16.1   17.7  805.10    1895     2630
2014-08-14 16:20:00    461348400  ***  ***    0.6    0.6    0.6   20.0   20.0   79.6   20.2   16.4   17.5  805.20    1894     2587
2014-08-14 16:40:00    461349600  ***  ***    0.9    0.9    0.9   20.1   20.1   77.3   20.3   16.0   17.2  805.30    1894     2586
2014-08-14 17:00:00    461350800  ***  ***    0.0    0.0    0.0   19.6   19.6   76.5   19.6   15.4   16.7  805.70    1890     2564
2014-08-14 17:20:00    461352000  ***  ***    0.0    0.0    0.0   19.7   19.7   77.2   19.7   15.6   16.8  805.40    1893     2569
2014-08-14 17:40:00    461353200  ***  ***    0.0    0.0    0.0   19.9   19.9   77.9   20.0   16.0   17.2  805.40    1893     2580
2014-08-14 18:00:00    461354400  ***  ***    0.0    0.0    0.0   19.7   19.7   78.8   19.8   15.9   17.1  805.30    1893     2572
2014-08-14 18:20:00    461355600  ***  ***    0.0    0.0    0.0   19.4   19.4   82.5   19.6   16.3   17.2  805.60    1890     2558
2014-08-14 18:40:00    461356800  ***  ***    0.0    0.0    0.0   19.0   19.0   83.0   19.1   16.0   16.9  805.80    1888     2544
2014-08-14 19:00:00    461358000  ***  ***    0.0    0.0    0.0   17.8   17.8   90.8   18.1   16.3   16.7  805.80    1888     2505
2014-08-14 19:20:00    461359200  ***  ***    0.0    0.0    0.0   17.5   17.5   94.1   18.0   16.6   16.9  806.10    1886     2492
2014-08-14 19:40:00    461360400  ***  ***    0.0    0.0    0.0   17.3   17.3   94.4   17.8   16.4   16.7  806.40    1883     2481
2014-08-14 20:00:00    461361600  ***  ***    0.0    0.0    0.0   16.8   16.8   94.0   17.3   15.8   16.1  806.50    1882     2459
2014-08-14 20:20:00    461362800  ***  ***    0.0    0.0    0.0   16.6   16.6   92.6   17.0   15.4   15.8  806.60    1881     2450
2014-08-14 20:40:00    461364000  ***  ***    0.0    0.0    0.0   16.2   16.2   89.0   16.4   14.4   15.0  807.00    1877     2426
2014-08-14 21:00:00    461365200  ***  ***    0.0    0.0    0.0   16.5   16.5   90.7   16.8   15.0   15.5  807.00    1876     2438
