FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    m/s    m/s    m/s     °C     °C      %     °C     °C     °C     hPa       m        m
----------------------------------------------------------------------------------------------------------------------------------
2014-09-04 09:40:00    463138800  ***  ***    0.0    0.0    0.0   18.1   18.1   59.0   16.8   10.0   12.8  746.10    2506     3241
2014-09-04 10:00:00    463140000  ***  ***    0.7    0.7    0.7   18.1   18.1   49.5   16.3    7.4   11.4  745.90    2507     3232
2014-09-04 10:20:00    463141200  ***  ***    0.0    0.0    0.0   20.1   20.1   56.0   19.3   11.1   14.1  745.90    2508     3314
2014-09-04 10:40:00    463142400  ***  ***    0.0    0.0    0.0   18.7   18.7   52.5   17.2    8.8   12.3  746.00    2507     3256
2014-09-04 11:00:00    463143600  ***  ***    0.0    0.0    0.0   18.2   18.2   53.9   16.6    8.7   12.2  745.90    2507     3240
2014-09-04 11:20:00    463144800  ***  ***    0.0    0.0    0.0   18.0   18.0   61.8   16.8   10.6   13.1  745.90    2507     3241
2014-09-04 11:40:00    463146000  ***  ***    0.0    0.0    0.0   16.7   16.7   73.6   16.2   11.9   13.4  746.20    2505     3200
2014-09-04 12:00:00    463147200  ***  ***    0.0    0.0    0.0   17.1   17.1   58.5   15.8    8.9   11.9  745.80    2508     3206
2014-09-04 12:20:00    463148400  ***  ***    0.0    0.0    0.0   17.8   17.8   69.8   17.1   12.2   14.0  745.70    2509     3245
2014-09-04 12:40:00    463149600  ***  ***    0.0    0.0    0.0   16.9   16.9   77.1   16.6   12.8   14.1  745.80    2509     3216
2014-09-04 13:00:00    463150800  ***  ***    0.0    0.0    0.0   16.1   16.1   72.7   15.5   11.2   12.8  745.50    2511     3186
2014-09-04 13:20:00    463152000  ***  ***    0.0    0.0    0.0   16.2   16.2   79.8   16.0   12.7   13.8  745.50    2511     3195
2014-09-04 13:40:00    463153200  ***  ***    0.0    0.0    0.0   13.5   13.5   92.3   13.8   12.3   12.7  745.80    2509     3099
2014-09-04 14:00:00    463154400  ***  ***    0.0    0.0    0.0   15.0   15.0   91.3   15.3   13.6   14.0  745.50    2512     3159
2014-09-04 14:20:00    463155600  ***  ***    0.0    0.0    0.0   14.5   14.5   91.4   14.8   13.1   13.6  744.90    2519     3149
2014-09-04 14:40:00    463156800  ***  ***    0.0    0.0    0.0   16.7   16.7   83.5   16.7   13.9   14.8  744.70    2520     3228
2014-09-04 15:00:00    463158000  ***  ***    0.0    0.0    0.0   17.0   17.0   71.4   16.4   11.8   13.5  744.90    2518     3226
2014-09-04 15:20:00    463159200  ***  ***    0.0    0.0    0.0   17.0   17.0   69.8   16.3   11.5   13.3  744.50    2522     3230
2014-09-04 15:40:00    463160400  ***  ***    0.0    0.0    0.0   16.6   16.6   73.8   16.1   11.9   13.4  744.20    2525     3223
2014-09-04 16:00:00    463161600  ***  ***    0.0    0.0    0.0   15.8   15.8   79.1   15.6   12.2   13.4  744.30    2525     3195
2014-09-04 16:20:00    463162800  ***  ***    0.0    0.0    0.0   16.2   16.2   77.7   15.9   12.3   13.6  744.50    2522     3206
2014-09-04 16:40:00    463164000  ***  ***    0.0    0.0    0.0   16.3   16.3   80.5   16.1   12.9   14.0  744.10    2527     3218
2014-09-04 17:00:00    463165200  ***  ***    0.0    0.0    0.0   16.3   16.3   83.0   16.3   13.4   14.3  744.40    2524     3216
2014-09-04 17:20:00    463166400  ***  ***    0.0    0.0    0.0   16.1   16.1   68.9   15.3   10.4   12.4  744.70    2521     3193
2014-09-04 17:40:00    463167600  ***  ***    0.0    0.0    0.0   15.4   15.4   74.6   14.9   10.9   12.4  744.60    2522     3173
2014-09-04 18:00:00    463168800  ***  ***    0.6    0.6    0.6   11.8   11.8   97.8   12.3   11.5   11.6  745.10    2515     3048
2014-09-04 18:20:00    463170000  ***  ***    0.0    0.0    0.0   10.9   10.9   99.2   11.3   10.8   10.8  745.30    2514     3012
2014-09-04 18:40:00    463171200  ***  ***    0.0    0.0    0.0   11.3   11.3  100.0   11.8   11.3   11.3  745.20    2515     3029
2014-09-04 19:00:00    463172400  ***  ***    0.0    0.0    0.0   10.7   10.7  100.0   11.2   10.7   10.7  745.40    2512     3001
2014-09-04 19:20:00    463173600  ***  ***    0.0    0.0    0.0   10.4   10.4  100.0   10.9   10.4   10.4  745.60    2511     2988
2014-09-04 19:40:00    463174800  ***  ***    0.0    0.0    0.0   10.4   10.4  100.0   10.9   10.4   10.4  745.80    2509     2987
2014-09-04 20:00:00    463176000  ***  ***    0.0    0.0    0.0   10.4   10.4  100.0   10.9   10.4   10.4  746.20    2504     2979
2014-09-04 20:20:00    463177200  ***  ***    0.0    0.0    0.0   10.6   10.6  100.0   11.1   10.6   10.6  746.00    2506     2989
2014-09-04 20:40:00    463178400  ***  ***    0.0    0.0    0.0   10.7   10.7  100.0   11.2   10.7   10.7  746.40    2501     2988
2014-09-04 21:00:00    463179600  ***  ***    0.0    0.0    0.0   10.5   10.5  100.0   11.0   10.5   10.5  746.40    2503     2981
2014-09-04 21:20:00    463180800  ***  ***    0.0    0.0    0.0   10.2   10.2  100.0   10.7   10.2   10.2  746.60    2500     2968
2014-09-04 21:40:00    463182000  ***  ***    0.0    0.0    0.0   10.4   10.4  100.0   10.9   10.4   10.4  746.40    2501     2978
